ID	Zipcode	City	GSID	School Name	Grade Range	School Type	Grade Level	Alternative/Special	School Ratings	Median List Price	Median Sale Price	Median Single Family Home Value	Median 2-Bedroom Home Value	Median 3-Bedroom Home Value	Median 4-Bedroom Home Value	Median Condo Value	Median List Price Per Sq Ft	For Sale Link	Quality Score	Appreciation Score
31	94043	Mountain View	25235	Independent Study Program School	K-8	public	Elementary, Middle	No	None	0	938900	1347800	840800	1138000	1400700	893200	745	http://www.zillow.com/mountain-view-ca-94043/	99.659594	22.28927856
32	94043	Mountain View	25236	Mvwsd Home & Hospital	K-8	public	Elementary, Middle	No	None	0	938900	1347800	840800	1138000	1400700	893200	745	http://www.zillow.com/mountain-view-ca-94043/	99.659594	22.28927856
33	94043	Mountain View	25182	Stevenson Elementary School	K-5	public	Elementary	No	10	0	938900	1347800	840800	1138000	1400700	893200	745	http://www.zillow.com/mountain-view-ca-94043/	99.659594	22.28927856
34	94043	Mountain View	12071	Monta Loma Elementary School	K-5	public	Elementary	No	7	0	938900	1347800	840800	1138000	1400700	893200	745	http://www.zillow.com/mountain-view-ca-94043/	99.659594	22.28927856
35	94043	Mountain View	12070	Crittenden Middle School	6-8	public	Middle	No	6	0	938900	1347800	840800	1138000	1400700	893200	745	http://www.zillow.com/mountain-view-ca-94043/	99.659594	22.28927856
36	94043	Mountain View	12072	Theuerkauf Elementary School	K-5	public	Elementary	No	5	0	938900	1347800	840800	1138000	1400700	893200	745	http://www.zillow.com/mountain-view-ca-94043/	99.659594	22.28927856
37	94044	Pacifica	13919	Ortega Elementary School	K-5	public	Elementary	No	8	0	753500	787400	640400	771700	900000	0	591	http://www.zillow.com/pacifica-ca-94044/	33.584712	15.08406087
38	94044	Pacifica	6892	Vallemar Elementary School	K-8	public	Elementary, Middle	No	8	0	753500	787400	640400	771700	900000	0	591	http://www.zillow.com/pacifica-ca-94044/	33.584712	15.08406087
39	94044	Pacifica	6881	Oceana High School	9-12	public	High	No	7	0	753500	787400	640400	771700	900000	0	591	http://www.zillow.com/pacifica-ca-94044/	33.584712	15.08406087
40	94044	Pacifica	6882	Terra Nova High School	9-12	public	High	No	7	0	753500	787400	640400	771700	900000	0	591	http://www.zillow.com/pacifica-ca-94044/	33.584712	15.08406087
41	94044	Pacifica	6891	Ocean Shore Elementary School	K-8	public	Elementary, Middle	No	7	0	753500	787400	640400	771700	900000	0	591	http://www.zillow.com/pacifica-ca-94044/	33.584712	15.08406087
42	94044	Pacifica	12232	Ingrid B. Lacy Middle School	6-8	public	Middle	No	6	0	753500	787400	640400	771700	900000	0	591	http://www.zillow.com/pacifica-ca-94044/	33.584712	15.08406087
43	94044	Pacifica	6893	Sunset Ridge Elementary School	K-5	public	Elementary	No	6	0	753500	787400	640400	771700	900000	0	591	http://www.zillow.com/pacifica-ca-94044/	33.584712	15.08406087
44	94044	Pacifica	6886	Linda Mar Educational Center	K-8	public	Elementary, Middle	No	6	0	753500	787400	640400	771700	900000	0	591	http://www.zillow.com/pacifica-ca-94044/	33.584712	15.08406087
45	94061	Redwood City	6922	Adelante Spanish Immersion School	K-5	public	Elementary	No	7	0	1146200	1218200	894300	1177300	1507500	0	803	http://www.zillow.com/redwood-city-ca-94061/	62.410628	22.68956843
46	94061	Redwood City	6924	Roy Cloud Elementary School	K-8	public	Elementary, Middle	No	7	0	1146200	1218200	894300	1177300	1507500	0	803	http://www.zillow.com/redwood-city-ca-94061/	62.410628	22.68956843
47	94061	Redwood City	6926	Henry Ford Elementary School	K-5	public	Elementary	No	6	0	1146200	1218200	894300	1177300	1507500	0	803	http://www.zillow.com/redwood-city-ca-94061/	62.410628	22.68956843
48	94061	Redwood City	6929	Hawes Elementary School	K-5	public	Elementary	No	2	0	1146200	1218200	894300	1177300	1507500	0	803	http://www.zillow.com/redwood-city-ca-94061/	62.410628	22.68956843
49	94063	Redwood City	17110	Central Community	9-12	public	High	No	None	0	785000	777800	707100	818300	903500	0	657	http://www.zillow.com/north-fair-oaks-ca-94063/	42.406752	20.22484906
50	94063	Redwood City	11145	Orion Alternative School	K-5	public	Elementary	Yes	7	0	785000	777800	707100	818300	903500	0	657	http://www.zillow.com/north-fair-oaks-ca-94063/	42.406752	20.22484906
51	94066	San Bruno	31142	Peninsula High	9-12	public	High	No	None	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
52	94066	San Bruno	6980	Peninsula High (Continuation) School	9-12	public	High	No	None	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
53	94066	San Bruno	11860	Portola Elementary School	K-5	public	Elementary	No	9	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
54	94066	San Bruno	6990	Monte Verde Elementary School	K-5	public	Elementary	No	9	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
55	94066	San Bruno	6977	Capuchino High School	9-12	public	High	No	7	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
56	94066	San Bruno	6905	Lomita Park Elementary School	K-5	public	Elementary	No	6	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
57	94066	San Bruno	6937	Allen (Decima M.) Elementary School	K-5	public	Elementary	No	6	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
58	94066	San Bruno	6940	El Crystal Elementary School	K-5	public	Elementary	No	6	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
59	94066	San Bruno	6942	Parkside Intermediate School	7-8	public	Middle	No	5	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
60	94066	San Bruno	6938	Belle Air Elementary School	K-5	public	Elementary	No	5	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
61	94066	San Bruno	6943	Rollingwood Elementary School	K-5	public	Elementary	No	4	0	412600	863300	644700	864500	976500	0	620	http://www.zillow.com/san-bruno-ca-94066/	24.41261	13.66795639
62	94070	San Carlos	6946	Central Middle School	5-8	public	Middle	No	9	0	1354800	1564100	1068500	1497700	1828100	796500	860	http://www.zillow.com/san-carlos-ca-94070/	1.162323	27.81364022
63	94085	Sunnyvale	5700	Bishop Elementary School	K-5	public	Elementary	No	4	0	826500	873100	685100	865000	966000	676600	659	http://www.zillow.com/sunnyvale-ca-94085/	74.911594	16.02840161
64	94085	Sunnyvale	5702	Columbia Middle School	6-8	public	Middle	No	3	0	826500	873100	685100	865000	966000	676600	659	http://www.zillow.com/sunnyvale-ca-94085/	74.911594	16.02840161
65	94086	Sunnyvale	5641	Ponderosa Elementary School	K-5	public	Elementary	No	7	0	1132000	1267400	752400	1162900	1321300	751600	733	http://www.zillow.com/sunnyvale-ca-94086/	75.585428	21.81968342
66	94086	Sunnyvale	5704	Ellis Elementary School	K-5	public	Elementary	No	6	0	1132000	1267400	752400	1162900	1321300	751600	733	http://www.zillow.com/sunnyvale-ca-94086/	75.585428	21.81968342
67	94086	Sunnyvale	5628	Braly Elementary School	K-5	public	Elementary	No	5	0	1132000	1267400	752400	1162900	1321300	751600	733	http://www.zillow.com/sunnyvale-ca-94086/	75.585428	21.81968342
68	94086	Sunnyvale	5709	Vargas Elementary School	K-5	public	Elementary	No	4	0	1132000	1267400	752400	1162900	1321300	751600	733	http://www.zillow.com/sunnyvale-ca-94086/	75.585428	21.81968342
69	94102	San Francisco	13785	S.F. County Civic Center Secondary	6-12	public	Middle, High	No	None	0	521500	0	988000	0	0	835600	970	http://www.zillow.com/san-francisco-ca-94102/	71.515573	13.98927259
70	94102	San Francisco	6442	Tenderloin Community	K-5	public	Elementary	No	2	0	521500	0	988000	0	0	835600	970	http://www.zillow.com/san-francisco-ca-94102/	71.515573	13.98927259
71	94103	San Francisco	6346	Carmichael (Bessie)/Fec	K-8	public	Elementary, Middle	No	4	0	895000	1416100	1119700	1408800	0	962900	959	http://www.zillow.com/san-francisco-ca-94103/	91.550667	18.64971293
72	94107	San Francisco	6359	Downtown High School	9-12	public	High	No	None	0	1072200	1420700	1254700	1485900	0	1011600	1015	http://www.zillow.com/san-francisco-ca-94107/	98.719929	20.96958701
73	94107	San Francisco	6435	King (Starr) Elementary School	K-5	public	Elementary	No	6	0	1072200	1420700	1254700	1485900	0	1011600	1015	http://www.zillow.com/san-francisco-ca-94107/	98.719929	20.96958701
74	94107	San Francisco	6451	Webster (Daniel) Elementary School	K-5	public	Elementary	No	3	0	1072200	1420700	1254700	1485900	0	1011600	1015	http://www.zillow.com/san-francisco-ca-94107/	98.719929	20.96958701
75	94107	San Francisco	6383	International Studies Academy	7-12	public	Middle, High	No	2	0	1072200	1420700	1254700	1485900	0	1011600	1015	http://www.zillow.com/san-francisco-ca-94107/	98.719929	20.96958701
76	94114	San Francisco	6408	Milk (Harvey) Civil Rights Elementary School	K-5	public	Elementary	No	5	0	1463700	1949600	1416500	1960300	2529500	1266000	1126	http://www.zillow.com/san-francisco-ca-94114/	91.618068	35.13650517
77	94114	San Francisco	6363	Everett Middle School	6-8	public	Middle	No	4	0	1463700	1949600	1416500	1960300	2529500	1266000	1126	http://www.zillow.com/san-francisco-ca-94114/	91.618068	35.13650517
78	94114	San Francisco	6392	Lick (James) Middle School	6-8	public	Middle	No	4	0	1463700	1949600	1416500	1960300	2529500	1266000	1126	http://www.zillow.com/san-francisco-ca-94114/	91.618068	35.13650517
79	94114	San Francisco	6428	Sanchez Elementary School	K-5	public	Elementary	No	4	0	1463700	1949600	1416500	1960300	2529500	1266000	1126	http://www.zillow.com/san-francisco-ca-94114/	91.618068	35.13650517
80	94114	San Francisco	6411	Mission High School	9-12	public	High	No	3	0	1463700	1949600	1416500	1960300	2529500	1266000	1126	http://www.zillow.com/san-francisco-ca-94114/	91.618068	35.13650517
81	94116	San Francisco	6436	Stevenson (Robert Louis) Elementary School	K-5	public	Elementary	No	10	0	1091300	1022800	939300	1084000	1276500	860300	742	http://www.zillow.com/san-francisco-ca-94116/	42.486603	24.04468066
82	94116	San Francisco	6445	Ulloa Elementary School	K-5	public	Elementary	No	10	0	1091300	1022800	939300	1084000	1276500	860300	742	http://www.zillow.com/san-francisco-ca-94116/	42.486603	24.04468066
83	94116	San Francisco	16863	Feinstein (Dianne) Elementary School	K-5	public	Elementary	No	8	0	1091300	1022800	939300	1084000	1276500	860300	742	http://www.zillow.com/san-francisco-ca-94116/	42.486603	24.04468066
84	94116	San Francisco	6378	Hoover (Herbert) Middle School	6-8	public	Middle	No	7	0	1091300	1022800	939300	1084000	1276500	860300	742	http://www.zillow.com/san-francisco-ca-94116/	42.486603	24.04468066
85	94116	San Francisco	6395	Lincoln (Abraham) High School	9-12	public	High	No	7	0	1091300	1022800	939300	1084000	1276500	860300	742	http://www.zillow.com/san-francisco-ca-94116/	42.486603	24.04468066
86	94117	San Francisco	6452	Wells (Ida B.) High School	9-12	public	High	No	None	0	1386300	2331300	1201400	1701400	2569400	1200100	1000	http://www.zillow.com/san-francisco-ca-94117/	84.870671	31.49187945
87	94117	San Francisco	25096	Chinese Immersion School At Deavila	K-5	public	Elementary	No	10	0	1386300	2331300	1201400	1701400	2569400	1200100	1000	http://www.zillow.com/san-francisco-ca-94117/	84.870671	31.49187945
88	94117	San Francisco	6375	Grattan Elementary School	K-5	public	Elementary	No	9	0	1386300	2331300	1201400	1701400	2569400	1200100	1000	http://www.zillow.com/san-francisco-ca-94117/	84.870671	31.49187945
89	94117	San Francisco	6415	New Traditions Elementary School	K-5	public	Elementary	No	8	0	1386300	2331300	1201400	1701400	2569400	1200100	1000	http://www.zillow.com/san-francisco-ca-94117/	84.870671	31.49187945
90	94122	San Francisco	6390	Lawton Alternative Elementary School	K-8	public	Elementary, Middle	Yes	10	0	1126000	1062100	991100	1131400	1290100	1100200	735	http://www.zillow.com/san-francisco-ca-94122/	41.73709	24.11091373
91	94122	San Francisco	6455	Yu (Alice Fong) Elementary School	K-8	public	Elementary, Middle	No	10	0	1126000	1062100	991100	1131400	1290100	1100200	735	http://www.zillow.com/san-francisco-ca-94122/	41.73709	24.11091373
92	94122	San Francisco	6372	Giannini (A.P.) Middle School	6-8	public	Middle	No	8	0	1126000	1062100	991100	1131400	1290100	1100200	735	http://www.zillow.com/san-francisco-ca-94122/	41.73709	24.11091373
93	94122	San Francisco	6385	Key (Francis Scott) Elementary School	K-5	public	Elementary	No	8	0	1126000	1062100	991100	1131400	1290100	1100200	735	http://www.zillow.com/san-francisco-ca-94122/	41.73709	24.11091373
94	94124	San Francisco	6404	Marshall (Thurgood) High School	9-12	public	High	No	4	0	560000	693800	669800	713700	756600	653800	527	http://www.zillow.com/san-francisco-ca-94124/	13.058586	16.30236975
95	94124	San Francisco	6347	Carver (George Washington) Elementary School	K-5	public	Elementary	No	4	0	560000	693800	669800	713700	756600	653800	527	http://www.zillow.com/san-francisco-ca-94124/	13.058586	16.30236975
96	94124	San Francisco	6377	Harte (Bret) Elementary School	K-5	public	Elementary	No	2	0	560000	693800	669800	713700	756600	653800	527	http://www.zillow.com/san-francisco-ca-94124/	13.058586	16.30236975
97	94124	San Francisco	6360	Drew (Charles) College Preparatory Academy	K-5	public	Elementary	No	1	0	560000	693800	669800	713700	756600	653800	527	http://www.zillow.com/san-francisco-ca-94124/	13.058586	16.30236975
98	94127	San Francisco	13709	S.F. County Court Woodside Learning Center	6-12	public	Middle, High	No	None	0	1411500	1390100	1111200	1442700	1854300	0	857	http://www.zillow.com/san-francisco-ca-94127/	80.510389	31.73313768
99	94127	San Francisco	6409	Miraloma Elementary School	K-5	public	Elementary	No	9	0	1411500	1390100	1111200	1442700	1854300	0	857	http://www.zillow.com/san-francisco-ca-94127/	80.510389	31.73313768
100	94127	San Francisco	6433	Sloat (Commodore) Elementary School	K-5	public	Elementary	No	9	0	1411500	1390100	1111200	1442700	1854300	0	857	http://www.zillow.com/san-francisco-ca-94127/	80.510389	31.73313768
101	94127	San Francisco	6448	West Portal Elementary School	K-5	public	Elementary	No	9	0	1411500	1390100	1111200	1442700	1854300	0	857	http://www.zillow.com/san-francisco-ca-94127/	80.510389	31.73313768
102	94127	San Francisco	6337	Aptos Middle School	6-8	public	Middle	No	7	0	1411500	1390100	1111200	1442700	1854300	0	857	http://www.zillow.com/san-francisco-ca-94127/	80.510389	31.73313768
103	94132	San Francisco	6397	Lowell High School	9-12	public	High	No	10	0	620000	979400	754100	1113900	1340500	599800	669	http://www.zillow.com/san-francisco-ca-94132/	90.530783	20.08126878
104	94132	San Francisco	6418	Ortega (Jose) Elementary School	K-5	public	Elementary	No	7	0	620000	979400	754100	1113900	1340500	599800	669	http://www.zillow.com/san-francisco-ca-94132/	90.530783	20.08126878
105	94132	San Francisco	6388	Lakeshore Alternative Elementary School	K-5	public	Elementary	Yes	5	0	620000	979400	754100	1113900	1340500	599800	669	http://www.zillow.com/san-francisco-ca-94132/	90.530783	20.08126878
106	94301	Palo Alto	5603	Addison Elementary School	K-5	public	Elementary	No	10	0	2505000	3406700	1816300	2757600	3814400	1561100	1504	http://www.zillow.com/palo-alto-ca-94301/	71.403765	71.7661006
107	94301	Palo Alto	5612	Walter Hays Elementary School	K-5	public	Elementary	No	10	0	2505000	3406700	1816300	2757600	3814400	1561100	1504	http://www.zillow.com/palo-alto-ca-94301/	71.403765	71.7661006
108	94301	Palo Alto	5617	Palo Alto High School	9-12	public	High	No	9	0	2505000	3406700	1816300	2757600	3814400	1561100	1504	http://www.zillow.com/palo-alto-ca-94301/	71.403765	71.7661006
109	94304	Palo Alto	12604	Packard Children's Hospital/Stanford	K-12	public	Elementary, Middle, High	No	None	2499000	0	0	0	0	0	0	0	http://www.zillow.com/palo-alto-ca-94304/	82.22065	0
110	94305	Stanford	5608	Escondido Elementary School	K-5	public	Elementary	No	10	1588000	0	2762200	0	2373400	2740700	1196600	1049	http://www.zillow.com/stanford-ca-94305/	82.293911	0
111	94305	Stanford	5615	Lucille M. Nixon Elementary School	K-5	public	Elementary	No	10	1588000	0	2762200	0	2373400	2740700	1196600	1049	http://www.zillow.com/stanford-ca-94305/	82.293911	0
112	94306	Palo Alto	14387	Terman Middle School	6-8	public	Middle	No	10	0	2352900	2380000	1469500	2083100	2697900	1245200	1323	http://www.zillow.com/palo-alto-ca-94306/	78.39274	51.30207157
113	94306	Palo Alto	5619	Jane Lathrop Stanford Middle School	6-8	public	Middle	No	10	0	2352900	2380000	1469500	2083100	2697900	1245200	1323	http://www.zillow.com/palo-alto-ca-94306/	78.39274	51.30207157
114	94306	Palo Alto	5605	Juana Briones Elementary School	K-5	public	Elementary	No	10	0	2352900	2380000	1469500	2083100	2697900	1245200	1323	http://www.zillow.com/palo-alto-ca-94306/	78.39274	51.30207157
115	94306	Palo Alto	5607	El Carmelo Elementary School	K-5	public	Elementary	No	10	0	2352900	2380000	1469500	2083100	2697900	1245200	1323	http://www.zillow.com/palo-alto-ca-94306/	78.39274	51.30207157
