5502,Brownell Middle School,6-8,public,95020
3512,Bel Aire Park Elementary School,K-5,public,94558
8602,El Sobrante Christian School,K-12,private,94803
30976,Sequoia Community Day,9-12,public,94303
25023,Stockton Unified Early College Academy,9-12,charter,95202
31588,One World Montessori School,1-6,private,95136
11974,Willow Creek Academy,K-8,charter,94965
184,Allendale Elementary School,K-5,public,94619
261,Esperanza Elementary School,K-5,public,94603
5451,West Valley Elementary School,K-5,public,94087
14279,N.A. Chaderjian High,9-12,public,95213
23791,Above and Beyond Academy,K-12,private,94565
8250,Queen Of All Saints Elementary School,K-8,private,94520
13428,Happy Day Presbyterian,PK-1,private,94953
7030,Geyserville Middle School,6-8,public,95441
10044,Family Life Center/Larry M. Simmons High,7-12,private,94952
65,Anna Yates Elementary School,K-8,public,94608
3090,Middletown High School,9-12,public,95461
11280,Allaire School,1-9,private,94925
7085,Whited Elementary Charter School,K-6,charter,95409
31222,Anchor Education, Inc.,3-12,private,94546
13755,Quail Run Elementary School,K-5,public,94582
5535,Central High (Continuation) School,10-12,public,95037
11924,Eagle Peak Montessori School,1-6,charter,94598
25496,German International School of Silicon Valley - Berkeley Campus,PK-8,private,94708
8842,Old Orchard School,PK-8,private,95008
14312,Ann Sobrato High School,9-12,public,95037
6413,Moscone (George R.) Elementary School,K-5,public,94110
17000,North Community,9-12,public,94080
10249,Emerson,1-5,private,94303
6524,Banta Elementary School,PK-8,public,95304
14496,Middletown Community Day School,7-12,public,95461
15239,La Cheim School,7-12,private,94806
15870,Springstone School, The,6-12,private,94549
6676,Benicia Middle School,6-8,public,94510
105,Warwick Elementary School,K-6,public,94555
14176,Walter Woodward Elementary School,K-8,public,95337
16737,Special Touch Homeschool,K-3,private,94589
24800,Heritage Cccoe Special Education Programs School,K-12,public,94513
16835,Far West,6-12,public,94618
9083,St. Simon Elementary School,K-8,private,94024
25834,American International Montessori School,K-6,private,94703
9026,Lodi Academy,9-12,private,95240
13982,Santa Cruz County Community School,7-12,public,95060
12735,Voice Of Pentecost Academy,K-12,private,94127
11912,Melrose Leadership Academy,K-8,public,94619
16597,Wen Jian Ying School,K-12,private,94112
25805,Harold William Kolb,K-5,public,94568
7024,Dunham Elementary School,6,public,94952
17107,John Marshall Elementary School,K-8,public,95206
5686,San Jos? High School,9-12,public,95116
6845,Panorama Elementary School,K-5,public,94014
5758,Branciforte Middle School,6-8,public,95062
31739,Discovery (2) Charter School,PK, 8,charter,95123
10102,Woodside International School,9-12,private,94122
13927,Encompass Academy Elementary,K-5,public,94621
5521,Springer Elementary School,K-6,public,94040
6854,Farallone View Elementary School,K-5,public,94037
280,Donlon Elementary School,K-5,public,94588
5784,Soquel Elementary School,K-5,public,95073
31070,Young Adult Program,n/a,public,94608
303,Arroyo High School,9-12,public,94580
422,Park Middle School,5-9,public,94509
8248,St. John The Baptist,K-8,private,94530
26848,Crescent Montessori School,PK-6,private,95476
555,Twin Creeks Elementary School,K-5,public,94583
24019,Highland Institute for Better Education,K-12,private,95032
31239,Calvary Christian School,1-12,private,94519
6386,King Jr. (Martin Luther) Academic Middle School,6-8,public,94134
5512,South Valley Middle School,6-8,public,95020
16654,The Academy for Educational Excellence,6-12,private,95014
12536,George Y. Komure Elementary School,K-8,public,95206
3456,Olive Elementary School,K-5,public,94945
5540,Los Paseos Elementary School,K-6,public,95139
7033,Guerneville Elementary School,K-8,public,95446
503,Valhalla Elementary School,K-5,public,94523
8119,St. Gabriel Elementary School,K-8,private,94116
567,Cesar E. Chavez Elementary School,K-6,public,94801
26343,Challenger School - Saratoga,K,private,95070
25818,North County Regional Occupational Program School,9-12,public,94087
24782,Insight School of California - North Bay,9-12,charter,95492
27225,Basis Independent Silicon Valley,5-12,private,95216
12050,Aspire Vincent Shalvey Academy,K-6,charter,95212
8134,St. Matthew Catholic School,K-8,private,94402
9108,Notre Dame High School San Jose,9-12,private,95112
3511,American Canyon Middle School,6-8,public,94589
17363,The Avalon Academy,K-12,private,94010
8231,De La Salle High School Of Concord,9-12,private,94518
