#ZIP,Latitude,Longitude,City,County,Estimated_Population
95433,38.29,-122.48,El Verano,Sonoma County,873
95436,38.48,-122.9,Forestville,Sonoma County,4585
95439,38.49,-122.77,Fulton,Sonoma County,838
95441,38.74,-123.13,Geyserville,Sonoma County,2362
95442,38.38,-122.52,Glen Ellen,Sonoma County,2862
95444,38.43,-122.86,Graton,Sonoma County,1154
95446,38.52,-123.01,Guerneville,Sonoma County,3558
95448,38.63,-122.89,Healdsburg,Sonoma County,14838
95450,38.51,-123.21,Jenner,Sonoma County,0
95452,38.42,-122.54,Kenwood,Sonoma County,1581
95462,38.45,-123.01,Monte Rio,Sonoma County,836
