#ZIP,Poverty_Rate,
94548,29.60,
95212,11.10,
95625,0.00,
95210,25.50,
95620,9.50,
94615,NA,NA,
94614,NA,NA,
94617,NA,NA,
94611,8.00,
94610,6.70,
94613,0.00,
94612,29.80,
94619,9.80,
94618,7.30,
94578,14.80,
94579,7.10,
94570,NA,NA,
94571,7.20,
94572,10.80,
94573,0.00,
94574,6.80,
94575,NA,NA,
94576,0.00,
94577,8.50,
94808,NA,NA,
95132,9.20,
95131,6.40,
95130,6.60,
95136,8.10,
95135,5.10,
95134,6.20,
94801,25.50,
94802,NA,NA,
94803,7.20,
94804,19.10,
94805,10.80,
94806,16.50,
94807,NA,NA,
95054,6.70,
95055,NA,NA,
95056,NA,NA,
95050,11.20,
95051,6.00,
95052,NA,NA,
95053,0.00,
94974,NA,NA,
94975,NA,NA,
94976,NA,NA,
94977,NA,NA,
94509,16.70,
94508,10.10,
94972,0.00,
94973,4.80,
94505,5.00,
94507,3.10,
94506,2.30,
94501,10.90,
94979,NA,NA,
94503,6.20,
94502,4.20,
95416,NA,NA,
95412,6.10,
95419,NA,NA,
94028,2.40,
94022,3.80,
94023,NA,NA,
94020,1.20,
94021,0.00,
94026,NA,NA,
94027,4.60,
94024,2.00,
94025,6.00,
94596,6.50,
94597,7.80,
94595,4.50,
94592,4.70,
94590,22.00,
94591,11.30,
94598,4.60,
94599,5.10,
95071,NA,NA,
94659,NA,NA,
94154,NA,NA,
94155,NA,NA,
94152,NA,NA,
94153,NA,NA,
94150,NA,NA,
94151,NA,NA,
94158,11.50,
94159,NA,NA,
95688,8.90,
95173,NA,NA,
95172,NA,NA,
95170,NA,NA,
94541,14.60,
94540,NA,NA,
95018,4.20,
95019,27.40,
94543,NA,NA,
94542,16.90,
94545,8.90,
94544,13.00,
94547,6.70,
94546,7.60,
95010,8.30,
95011,NA,NA,
95013,0.00,
95014,5.50,
95015,NA,NA,
95017,11.00,
94938,3.80,
94939,1.80,
94930,5.40,
94931,8.80,
94933,5.80,
94937,9.50,
95450,8.50,
94188,NA,NA,
95452,4.00,
95304,8.00,
95269,NA,NA,
95267,NA,NA,
95065,6.50,
95064,22.60,
95067,NA,NA,
95066,4.50,
95061,NA,NA,
95060,19.80,
95063,NA,NA,
95062,15.10,
94949,9.00,
94948,NA,NA,
94945,5.50,
94947,4.60,
94946,4.70,
94941,6.10,
94940,20.40,
94942,NA,NA,
95439,21.60,
95425,9.90,
95421,9.80,
95117,14.30,
94118,10.70,
94119,NA,NA,
94112,10.60,
94110,12.50,
94111,11.40,
94116,9.50,
94117,11.00,
94114,6.10,
94115,14.80,
94533,16.10,
95430,NA,NA,
95431,NA,NA,
95133,16.30,
94606,24.60,
94607,29.10,
94604,NA,NA,
94605,17.80,
94602,9.00,
94603,25.00,
94601,25.30,
95236,13.40,
94608,13.80,
94609,15.90,
95205,29.90,
95237,14.10,
95139,5.50,
95138,3.40,
95492,5.30,
95201,NA,NA,
95203,23.00,
95202,50.40,
95128,11.90,
95129,5.90,
95124,5.00,
95125,7.10,
