zip,female_labor
94022,0.488
94023,0.488
94024,0.488
95015,0.520
95446,0.639
94005,0.685
95023,0.628
95024,0.628
95686,0.495
94566,0.601
94588,0.601
94547,0.668
94925,0.651
94976,0.651
95008,0.672
95009,0.672
95011,0.672
94586,0.633
94061,0.646
94063,0.646
94064,0.646
94065,0.646
94511,0.367
94070,0.650
94802,0.611
94804,0.611
94805,0.611
94807,0.611
94808,0.611
94850,0.611
95330,0.575
95035,0.589
95036,0.589
94035,0.660
94039,0.660
94041,0.660
94042,0.660
94043,0.660
94587,0.598
94561,0.618
95018,0.643
95237,0.445
95452,0.647
94939,0.597
94977,0.597
95442,0.436
95441,0.541
94576,0.677
94957,0.434
94599,0.401
94574,0.532
95045,0.586
94970,0.660
94951,0.728
94536,0.591
94537,0.591
94538,0.591
94539,0.591
94555,0.591
94971,0.797
95066,0.623
95067,0.623
94083,0.632
94038,0.620
94972,1.000
94595,0.541
94596,0.541
94597,0.541
94598,0.541
94608,0.687
94662,0.687
94942,0.567
94923,0.468
95001,0.575
94901,0.634
94912,0.634
94913,0.634
94915,0.634
94507,0.437
94930,0.765
94978,0.765
95050,0.603
95051,0.603
95052,0.603
95053,0.603
95054,0.603
95055,0.603
95056,0.603
94026,0.610
95258,0.642
94514,0.477
95401,0.605
95402,0.605
95403,0.605
95404,0.605
95405,0.605
95406,0.605
95407,0.605
95409,0.605
94037,0.713
95030,0.534
95031,0.534
95032,0.534
95033,0.534
95336,0.648
95337,0.648
94013,0.640
94014,0.640
94015,0.640
94016,0.640
94017,0.640
94515,0.477
95436,0.681
94560,0.632
94931,0.671
94582,0.654
94583,0.654
95005,0.626
95240,0.527
95241,0.527
95242,0.527
94019,0.630
94513,0.599
94564,0.577
94010,0.611
94011,0.611
94517,0.610
94960,0.642
94979,0.642
94509,0.584
94531,0.584
94701,0.566
94702,0.566
94703,0.566
94704,0.566
94705,0.566
94708,0.566
94709,0.566
94710,0.566
94712,0.566
94720,0.566
94956,0.665
95448,0.602
94030,0.567
94946,0.222
94965,0.724
94966,0.724
95220,1.000
94820,0.637
95019,0.636
94922,0.708
94568,0.643
94562,1.000
95010,0.618
94572,0.583
95366,0.578
94963,0.902
94548,0.497
95201,0.569
95202,0.569
95203,0.569
95204,0.569
95205,0.569
95206,0.569
95207,0.569
95208,0.569
95209,0.569
95210,0.569
95212,0.569
95213,0.569
95215,0.569
95219,0.569
95267,0.569
95269,0.569
95296,0.569
95297,0.569
94508,0.687
94101,0.642
94102,0.642
94103,0.642
94104,0.642
94105,0.642
94106,0.642
94107,0.642
94108,0.642
94109,0.642
94110,0.642
94111,0.642
94112,0.642
94114,0.642
94115,0.642
94116,0.642
94117,0.642
94118,0.642
94119,0.642
94120,0.642
94121,0.642
94122,0.642
94123,0.642
94124,0.642
94125,0.642
94126,0.642
94127,0.642
94128,0.642
94129,0.642
94130,0.642
94131,0.642
94132,0.642
94133,0.642
94134,0.642
94135,0.642
94136,0.642
94137,0.642
94138,0.642
94140,0.642
94141,0.642
94142,0.642
94143,0.642
94144,0.642
94145,0.642
94146,0.642
94147,0.642
94150,0.642
94152,0.642
94153,0.642
94154,0.642
94155,0.642
94156,0.642
94158,0.642
94159,0.642
94160,0.642
94161,0.642
94162,0.642
94163,0.642
94164,0.642
94171,0.642
94172,0.642
94175,0.642
94177,0.642
94188,0.642
94199,0.642
94601,0.605
94602,0.605
94603,0.605
94604,0.605
94605,0.605
94606,0.605
94607,0.605
94609,0.605
94610,0.605
94611,0.605
94612,0.605
94613,0.605
94614,0.605
94615,0.605
94617,0.605
94618,0.605
94619,0.605
94621,0.605
94622,0.605
94623,0.605
94624,0.605
94625,0.605
94649,0.605
94659,0.605
94660,0.605
94661,0.605
94666,0.605
95020,0.612
95021,0.612
94530,0.631
94546,0.617
94552,0.617
94518,0.628
94519,0.628
94520,0.628
94521,0.628
94522,0.628
94524,0.628
94527,0.628
94558,0.613
94559,0.613
94581,0.613
94506,0.553
94526,0.553
94501,0.649
94502,0.649
94580,0.629
95236,0.589
94027,0.359
95320,0.619
94937,0.660
94577,0.627
94578,0.627
94579,0.627
94525,0.652
94973,0.743
94505,0.669
95421,0.721
95472,0.652
95473,0.652
94021,0.500
94305,0.475
94620,0.576
94573,0.731
95070,0.466
95071,0.466
94953,0.637
94954,0.637
94955,0.637
94975,0.637
94999,0.637
94947,0.625
94948,0.625
94998,0.625
95017,0.930
95439,0.764
95041,0.782
94926,0.656
94927,0.656
94928,0.656
94020,0.720
95231,0.454
94002,0.635
95433,0.584
94563,0.497
95046,0.598
94401,0.646
94402,0.646
94403,0.646
94404,0.646
94497,0.646
95450,0.667
94550,0.641
94551,0.641
94556,0.492
94570,0.492
94575,0.492
95444,0.805
95492,0.657
95061,0.581
95062,0.581
95063,0.581
95064,0.581
95065,0.581
94044,0.674
94018,0.684
95253,0.687
94540,0.623
94541,0.623
94542,0.623
94543,0.623
94544,0.623
94545,0.623
94557,0.623
95077,0.599
95075,0.547
94924,0.695
95101,0.612
95103,0.612
95106,0.612
95108,0.612
95109,0.612
95110,0.612
95111,0.612
95112,0.612
95113,0.612
95115,0.612
95116,0.612
95117,0.612
95118,0.612
95119,0.612
95120,0.612
95121,0.612
95122,0.612
95123,0.612
95124,0.612
95125,0.612
95126,0.612
95127,0.612
95128,0.612
95129,0.612
95130,0.612
95131,0.612
95132,0.612
95133,0.612
95134,0.612
95135,0.612
95136,0.612
95138,0.612
95139,0.612
95141,0.612
95148,0.612
95150,0.612
95151,0.612
95152,0.612
95153,0.612
95154,0.612
95155,0.612
95156,0.612
95157,0.612
95158,0.612
95159,0.612
95160,0.612
95161,0.612
95164,0.612
95170,0.612
95172,0.612
95173,0.612
95190,0.612
95191,0.612
95192,0.612
95193,0.612
95194,0.612
95196,0.612
94569,0.664
94523,0.594
94528,0.539
94301,0.554
94302,0.554
94304,0.554
94306,0.554
94309,0.554
95304,0.633
95376,0.633
95377,0.633
95378,0.633
94066,0.653
95007,0.778
95006,0.630
95073,0.625
95037,0.639
95038,0.639
95431,0.314
95465,0.498
94549,0.525
94085,0.608
94086,0.608
94087,0.608
94088,0.608
94089,0.608
94060,0.867
94974,0.000
95412,0.000
95419,0.000
95013,0.000
94938,0.000
94933,0.000
94940,0.000
95430,0.000
95026,0.000
94516,0.000
94950,0.000
95480,0.000
95487,0.000
95486,0.000
