zip,renter_occupied
94022,0.145
94023,0.145
94024,0.145
95015,0.341
95446,0.289
94005,0.357
95023,0.377
95024,0.377
95686,0.532
94566,0.305
94588,0.305
94547,0.226
94925,0.261
94976,0.261
95008,0.456
95009,0.456
95011,0.456
94586,0.214
94061,0.455
94063,0.455
94064,0.455
94065,0.455
94511,0.141
94070,0.279
94560,0.296
95330,0.218
95035,0.313
95036,0.313
94035,0.560
94039,0.560
94041,0.560
94042,0.560
94043,0.560
94587,0.295
94561,0.223
95018,0.258
95237,0.341
95452,0.179
94939,0.501
94977,0.501
95442,0.322
95441,0.252
94576,0.381
94957,0.114
94599,0.275
94574,0.442
95045,0.530
94970,0.086
94951,0.409
94536,0.340
94537,0.340
94538,0.340
94539,0.340
94555,0.340
94971,0.453
95066,0.241
95067,0.241
94083,0.391
94038,0.288
94972,1.000
94595,0.305
94596,0.305
94597,0.305
94598,0.305
94608,0.556
94662,0.556
94942,0.286
94923,0.065
95001,0.280
94901,0.457
94912,0.457
94913,0.457
94915,0.457
94507,0.099
94930,0.405
94978,0.405
95050,0.511
95051,0.511
95052,0.511
95053,0.511
95054,0.511
95055,0.511
95056,0.511
94026,0.416
95258,0.285
94514,0.444
95401,0.423
95402,0.423
95403,0.423
95404,0.423
95405,0.423
95406,0.423
95407,0.423
95409,0.423
94037,0.169
95030,0.336
95031,0.336
95032,0.336
95033,0.336
95336,0.360
95337,0.360
94013,0.409
94014,0.409
94015,0.409
94016,0.409
94017,0.409
94515,0.364
95436,0.282
94802,0.442
94804,0.442
94805,0.442
94807,0.442
94808,0.442
94850,0.442
94931,0.438
94582,0.282
94583,0.282
95005,0.296
95240,0.429
95241,0.429
95242,0.429
94019,0.272
94513,0.228
94564,0.231
94010,0.494
94011,0.494
94517,0.109
94960,0.317
94979,0.317
94509,0.328
94531,0.328
94701,0.529
94702,0.529
94703,0.529
94704,0.529
94705,0.529
94708,0.529
94709,0.529
94710,0.529
94712,0.529
94720,0.529
94956,0.342
95448,0.380
94030,0.350
94965,0.442
94966,0.442
94820,0.347
95019,0.367
94922,0.493
94568,0.342
94562,0.544
95010,0.494
94572,0.341
95366,0.317
94963,0.182
94548,0.222
95201,0.433
95202,0.433
95203,0.433
95204,0.433
95205,0.433
95206,0.433
95207,0.433
95208,0.433
95209,0.433
95210,0.433
95212,0.433
95213,0.433
95215,0.433
95219,0.433
95267,0.433
95269,0.433
95296,0.433
95297,0.433
94508,0.469
94101,0.572
94102,0.572
94103,0.572
94104,0.572
94105,0.572
94106,0.572
94107,0.572
94108,0.572
94109,0.572
94110,0.572
94111,0.572
94112,0.572
94114,0.572
94115,0.572
94116,0.572
94117,0.572
94118,0.572
94119,0.572
94120,0.572
94121,0.572
94122,0.572
94123,0.572
94124,0.572
94125,0.572
94126,0.572
94127,0.572
94128,0.572
94129,0.572
94130,0.572
94131,0.572
94132,0.572
94133,0.572
94134,0.572
94135,0.572
94136,0.572
94137,0.572
94138,0.572
94140,0.572
94141,0.572
94142,0.572
94143,0.572
94144,0.572
94145,0.572
94146,0.572
94147,0.572
94150,0.572
94152,0.572
94153,0.572
94154,0.572
94155,0.572
94156,0.572
94158,0.572
94159,0.572
94160,0.572
94161,0.572
94162,0.572
94163,0.572
94164,0.572
94171,0.572
94172,0.572
94175,0.572
94177,0.572
94188,0.572
94199,0.572
94601,0.529
94602,0.529
94603,0.529
94604,0.529
94605,0.529
94606,0.529
94607,0.529
94609,0.529
94610,0.529
94611,0.529
94612,0.529
94613,0.529
94614,0.529
94615,0.529
94617,0.529
94618,0.529
94619,0.529
94621,0.529
94622,0.529
94623,0.529
94624,0.529
94625,0.529
94649,0.529
94659,0.529
94660,0.529
94661,0.529
94666,0.529
95020,0.372
95021,0.372
94530,0.370
94546,0.303
94552,0.303
94518,0.363
94519,0.363
94520,0.363
94521,0.363
94522,0.363
94524,0.363
94527,0.363
94558,0.399
94559,0.399
94581,0.399
94506,0.165
94526,0.165
94501,0.481
94502,0.481
94580,0.263
95236,0.257
94027,0.082
95320,0.227
94937,0.194
94577,0.418
94578,0.418
94579,0.418
94525,0.262
94973,0.216
94505,0.139
95421,0.125
95472,0.465
95473,0.465
94021,0.065
94929,0.020
94305,0.699
94620,0.082
94573,0.519
95070,0.144
95071,0.144
94953,0.316
94954,0.316
94955,0.316
94975,0.316
94999,0.316
94947,0.312
94948,0.312
94998,0.312
95017,0.416
95439,0.414
95041,0.351
94926,0.434
94927,0.434
94928,0.434
94020,0.143
95231,0.446
94002,0.379
95433,0.497
94563,0.092
95046,0.237
94401,0.439
94402,0.439
94403,0.439
94404,0.439
94497,0.439
95450,0.220
94550,0.275
94551,0.275
94556,0.149
94570,0.149
94575,0.149
95444,0.314
95492,0.229
95061,0.503
95062,0.503
95063,0.503
95064,0.503
95065,0.503
94044,0.290
94018,0.252
95253,0.433
94540,0.435
94541,0.435
94542,0.435
94543,0.435
94544,0.435
94545,0.435
94557,0.435
95077,0.525
95075,0.297
94924,0.235
95101,0.396
95103,0.396
95106,0.396
95108,0.396
95109,0.396
95110,0.396
95111,0.396
95112,0.396
95113,0.396
95115,0.396
95116,0.396
95117,0.396
95118,0.396
95119,0.396
95120,0.396
95121,0.396
95122,0.396
95123,0.396
95124,0.396
95125,0.396
95126,0.396
95127,0.396
95128,0.396
95129,0.396
95130,0.396
95131,0.396
95132,0.396
95133,0.396
95134,0.396
95135,0.396
95136,0.396
95138,0.396
95139,0.396
95141,0.396
95148,0.396
95150,0.396
95151,0.396
95152,0.396
95153,0.396
95154,0.396
95155,0.396
95156,0.396
95157,0.396
95158,0.396
95159,0.396
95160,0.396
95161,0.396
95164,0.396
95170,0.396
95172,0.396
95173,0.396
95190,0.396
95191,0.396
95192,0.396
95193,0.396
95194,0.396
95196,0.396
94569,0.515
94523,0.386
94301,0.402
94302,0.402
94304,0.402
94306,0.402
94309,0.402
95304,0.315
95376,0.315
95377,0.315
95378,0.315
94066,0.409
95007,0.202
95006,0.203
95073,0.259
95037,0.276
95038,0.276
95431,0.429
95465,0.178
94549,0.237
94085,0.507
94086,0.507
94087,0.507
94088,0.507
94089,0.507
94060,0.477
94974,0.000
95412,0.000
95419,0.000
95013,0.000
94938,0.000
94933,0.000
94946,0.000
94940,0.000
95430,0.000
95026,0.000
94516,0.000
94950,0.000
95480,0.000
95487,0.000
95486,0.000
