#ZIP,Median_Household_Income
94302,NA
94301,122473.00
94306,110580.00
94305,64697.00
94304,103971.00
94901,72311.00
94903,88646.00
94904,102538.00
94518,70546.00
94519,70476.00
94516,100938.00
94517,116677.00
94514,50199.00
94515,60754.00
94512,142885.00
94513,91343.00
94510,88930.00
94511,35288.00
95462,37137.00
95465,76439.00
94017,NA
94016,NA
94015,76978.00
94014,71739.00
94013,NA
95231,37258.00
94011,NA
94010,109775.00
94019,100394.00
94018,NA
95337,64813.00
95336,57317.00
95330,60887.00
94163,NA
94162,NA
94161,NA
94649,NA
94164,NA
95160,NA
95161,NA
95164,NA
94709,57433.00
94708,140611.00
94707,138144.00
94706,81206.00
94705,94750.00
94704,31116.00
94703,55554.00
94702,57457.00
94701,NA
94497,NA
94160,NA
94552,138447.00
94553,75672.00
94550,102413.00
94551,95716.00
94556,120960.00
94557,NA
94555,111268.00
94970,81743.00
94558,72286.00
94559,56895.00
94971,62500.00
95115,NA
94820,NA
95116,48805.00
95111,57120.00
95110,63184.00
95113,34345.00
95112,48370.00
95119,109745.00
95118,89265.00
94978,NA
94199,NA
95377,98072.00
95376,63374.00
95378,NA
95076,55208.00
94538,85945.00
95075,52500.00
95073,73987.00
95070,158655.00
94539,143949.00
94956,57105.00
94957,130208.00
94954,80645.00
94955,NA
94952,76813.00
94953,NA
94950,87708.00
94951,90027.00
95403,60394.00
94127,131351.00
94126,NA
94125,NA
94124,50146.00
94123,112650.00
94122,81768.00
94121,72756.00
94120,NA
95436,47455.00
95433,NA
94129,143320.00
94128,NA
95209,72430.00
95208,NA
94044,94453.00
95204,44809.00
95207,39301.00
95206,43559.00
94040,99375.00
94041,92125.00
94042,NA
94043,97552.00
95023,67481.00
94569,86719.00
94568,114812.00
94064,NA
95480,NA
95487,NA
95486,NA
95296,NA
95297,NA
95159,NA
95158,NA
95151,NA
95150,NA
95153,NA
95152,NA
95155,NA
95154,NA
95157,NA
95156,NA
95032,122163.00
95033,116382.00
95030,151538.00
95031,NA
95036,NA
95037,95047.00
95035,95437.00
95038,NA
94912,NA
94913,NA
94529,NA
94528,223893.00
94914,NA
94915,NA
94523,77485.00
94522,NA
94521,81144.00
94520,47313.00
94527,NA
94526,124511.00
94525,83716.00
94524,NA
94850,NA
95472,68223.00
95473,NA
95471,39299.00
95476,58785.00
