ZIP, City, County, State, Year_1996, Year_1997, Year_1998, Year_1999, Year_2000, Year_2001, Year_2002, Year_2003, Year_2004, Year_2005, Year_2006, Year_2007, Year_2008, Year_2009, Year_2010, Year_2011, Year_2012, Year_2013, Year_2014, Year_2015
95210, Stockton, San Joaquin, CA, 100825.00, 90531.25, 92895.83, 99758.33, 109503.33, 142943.75, 166339.58, 191566.67, 237579.17, 319687.50, 335483.33, 301490.00, NA, 95117.84, 106087.50, 108916.67, 104741.37, 124330.07, 153446.27, 161170.00
94951, Penngrove, Sonoma, CA, NA, NA, NA, NA, 440000.00, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
95133, San Jose, Santa Clara, CA, 186561.11, 192336.36, 211931.82, 235333.33, 303100.00, 376583.33, 377550.00, 376362.90, 446520.83, 497812.50, 574104.17, 585305.56, 588461.54, 282659.81, 364624.13, 325325.46, 360921.04, 463804.64, 566495.22, 622899.02
95215, Garden Acres, San Joaquin, CA, 82666.67, 81577.49, 74314.01, 81504.30, 90179.32, 110538.86, 136795.55, 158241.64, 211921.76, 259532.84, 311450.09, 318206.73, NA, NA, 68000.00, 51500.00, NA, NA, NA, NA
94607, Oakland, Alameda, CA, NA, NA, NA, 126711.54, 168788.94, 211565.61, 260346.98, 283146.83, 370113.12, 424854.17, 437900.00, 435986.40, 369370.16, 290711.54, 273710.29, 296032.28, 312067.87, 305317.35, 396116.67, 418850.00
94502, Alameda, Alameda, CA, 263911.11, 293868.89, 304382.95, 321245.83, 391199.21, 437960.58, 501605.00, 520958.33, 574354.17, 696746.42, 692174.21, 623831.93, 616822.13, 572351.32, 558528.05, 485372.50, 504652.40, 623589.74, 675339.56, 775294.12
94024, Los Altos, Santa Clara, CA, 598582.93, 701378.68, 737112.64, 860694.70, 1293723.84, 988227.94, 1151995.10, 1135753.27, 1305148.69, 1437457.52, 1575230.77, 1617819.37, 1711143.38, 1456579.44, 1521773.47, 1605947.86, 1791984.23, 1895655.35, 2214150.74, 2680227.15
94578, San Leandro, Alameda, CA, 152651.63, 153066.67, 165745.83, 185520.83, 244412.50, 287937.50, 318816.67, 344616.67, 417045.83, 512129.17, 527000.00, 471875.00, 345234.62, 286658.06, 305538.39, 259960.16, 274699.49, 357234.50, 407772.06, 429085.97
94579, San Leandro, Alameda, CA, NA, 171246.14, 194395.69, 279942.50, 285754.80, 348409.71, 362471.58, 392748.25, 459138.24, 532022.73, 569369.04, 536750.00, 370000.00, 353968.24, 343688.80, 316466.63, 332357.29, 398047.26, 480000.00, 491500.00
94124, San Francisco, San Francisco, CA, 148963.73, 151057.16, 188041.67, 224262.50, 285341.67, 348812.50, 379595.83, 422112.50, 483875.00, 580229.17, 629187.50, 559890.91, 473758.82, 393235.29, 360601.89, 298314.29, 349764.71, 441000.00, 480000.00, 560000.00
94123, San Francisco, San Francisco, CA, 457929.17, 468362.22, 623081.82, 705772.44, 933788.33, 932294.12, 821493.11, 996727.46, 1094080.01, 1065927.27, 1293829.99, 1230508.82, 1610967.19, 1219255.88, 1253287.33, 1254752.10, 1294383.82, 1257262.13, 1906871.15, 1891176.47
