ZIP, avg_precipitation, N_avg_precipitation, renter_occupied, N_renter_occupied, earthquake_index, N_earthquake_index, pop_growth_rate, N_pop_growth_rate, avg_temperature, N_avg_temperature, poverty_Rate, N_poverty_Rate, parks, N_parks, crime_index, N_crime_index, female_labor, N_female_labor, coffeeshops, N_coffeeshops, restaurants, N_restaurants
95064, NA, NA, 0.50, 49.70, 24.00, 77.55, 0.10, 95.56, NA, NA, 22.60, 55.16, 5.00, 12.50, 2810.00, 53.68, 0.58, 58.10, 0.00, 0.00, 13.00, 32.50
95067, NA, NA, 0.24, 75.90, 26.80, 74.62, 0.02, 96.17, NA, NA, NA, NA, 3.00, 7.50, 1016.00, 83.25, 0.62, 62.30, 1.00, 2.50, 26.00, 65.00
95066, 50.48, 85.24, 0.24, 75.90, 26.80, 74.62, 0.02, 96.17, 58.53, 53.59, 4.50, 91.07, 4.00, 10.00, 1016.00, 83.25, 0.62, 62.30, 0.00, 0.00, 5.00, 12.50
95061, NA, NA, 0.50, 49.70, 24.00, 77.55, 0.10, 95.56, NA, NA, NA, NA, 3.00, 7.50, 2810.00, 53.68, 0.58, 58.10, 0.00, 0.00, 8.00, 20.00
95060, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 19.80, 60.71, 4.00, 10.00, NA, NA, NA, NA, 0.00, 0.00, 1.00, 2.50
95063, 31.35, 41.87, 0.50, 49.70, 24.00, 77.55, 0.10, 95.56, 58.82, 56.68, NA, NA, 12.00, 30.00, 2810.00, 53.68, 0.58, 58.10, 1.00, 2.50, 40.00, 100.00
95062, 31.35, 41.87, 0.50, 49.70, 24.00, 77.55, 0.10, 95.56, 58.82, 56.68, 15.10, 70.04, 8.00, 20.00, 2810.00, 53.68, 0.58, 58.10, 1.00, 2.50, 13.00, 32.50
94949, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 9.00, 82.14, 1.00, 2.50, NA, NA, NA, NA, 0.00, 0.00, 2.00, 5.00
94948, NA, NA, 0.31, 68.80, 11.76, 90.39, 0.09, 95.62, NA, NA, NA, NA, 12.00, 30.00, 1001.00, 83.50, 0.62, 62.50, 0.00, 0.00, 40.00, 100.00
94945, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5.50, 89.09, 1.00, 2.50, NA, NA, NA, NA, 0.00, 0.00, 1.00, 2.50
94947, NA, NA, 0.31, 68.80, 11.76, 90.39, 0.09, 95.62, NA, NA, 4.60, 90.87, 1.00, 2.50, 1001.00, 83.50, 0.62, 62.50, 0.00, 0.00, 0.00, 0.00
94946, NA, NA, 0.00, 100.00, 8.78, 93.51, 12.71, 0.00, NA, NA, 4.70, 90.67, 35.00, 87.50, 0.00, 100.00, 0.22, 22.20, 0.00, 0.00, 9.00, 22.50
94941, 38.26, 57.54, NA, NA, NA, NA, NA, NA, NA, NA, 6.10, 87.90, 4.00, 10.00, NA, NA, NA, NA, 0.00, 0.00, 2.00, 5.00
94940, NA, NA, 0.00, 100.00, 8.83, 93.46, 0.00, 96.30, NA, NA, 20.40, 59.52, 1.00, 2.50, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
94942, NA, NA, 0.29, 71.40, 14.34, 87.68, 0.02, 96.13, NA, NA, NA, NA, 19.00, 47.50, 664.00, 89.05, 0.57, 56.70, 1.00, 2.50, 40.00, 100.00
95439, 41.50, 64.88, 0.41, 58.60, 30.72, 70.51, -0.09, 97.00, 59.13, 60.08, 21.60, 57.14, 5.00, 12.50, 0.00, 100.00, 0.76, 76.40, 0.00, 0.00, 26.00, 65.00
95425, 44.62, 71.96, NA, NA, NA, NA, NA, NA, 60.22, 71.93, 9.90, 80.36, 2.00, 5.00, NA, NA, NA, NA, 0.00, 0.00, 16.00, 40.00
95421, 39.87, 61.19, 0.12, 87.50, 4.83, 97.65, -0.02, 96.47, 54.17, 5.99, 9.80, 80.56, 0.00, 0.00, 0.00, 100.00, 0.72, 72.10, 0.00, 0.00, 0.00, 0.00
95117, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 14.30, 71.63, 3.00, 7.50, 1475.00, 75.68, 0.61, 61.20, 3.00, 7.50, 30.00, 75.00
94118, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, 10.70, 78.77, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 5.00, 12.50, 40.00, 100.00
94119, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 18.00, 45.00, 40.00, 100.00
94112, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, 10.60, 78.97, 28.00, 70.00, 2718.00, 55.19, 0.64, 64.20, 3.00, 7.50, 40.00, 100.00
94110, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, 12.50, 75.20, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 29.00, 72.50, 40.00, 100.00
94111, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, 11.40, 77.38, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 29.00, 72.50, 40.00, 100.00
94116, 20.68, 17.68, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, 55.29, 18.26, 9.50, 81.15, 11.00, 27.50, 2718.00, 55.19, 0.64, 64.20, 1.00, 2.50, 40.00, 100.00
94117, 23.65, 24.42, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, 57.33, 40.51, 11.00, 78.17, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 23.00, 57.50, 40.00, 100.00
94114, 23.65, 24.42, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, 57.33, 40.51, 6.10, 87.90, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 20.00, 50.00, 40.00, 100.00
94115, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, 14.80, 70.63, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 18.00, 45.00, 40.00, 100.00
94533, 24.81, 27.05, NA, NA, NA, NA, NA, NA, 60.98, 80.29, 16.10, 68.06, 5.00, 12.50, NA, NA, NA, NA, 0.00, 0.00, 40.00, 100.00
95430, 56.99, 100.00, 0.00, 100.00, 7.43, 94.93, 0.00, 96.30, 55.54, 20.94, NA, NA, 0.00, 0.00, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
95431, 31.43, 42.05, 0.43, 57.10, 11.54, 90.62, -0.20, 97.79, 58.81, 56.58, NA, NA, 6.00, 15.00, 0.00, 100.00, 0.31, 31.40, 0.00, 0.00, 40.00, 100.00
95133, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 16.30, 67.66, 5.00, 12.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 12.00, 30.00
94606, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 24.60, 51.19, 24.00, 60.00, 5091.00, 16.07, 0.60, 60.50, 4.00, 10.00, 40.00, 100.00
94607, 23.96, 25.12, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, 59.17, 60.58, 29.10, 42.26, 5.00, 12.50, 5091.00, 16.07, 0.60, 60.50, 0.00, 0.00, 11.00, 27.50
94604, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, NA, NA, 40.00, 100.00, 5091.00, 16.07, 0.60, 60.50, 11.00, 27.50, 40.00, 100.00
94605, 26.69, 31.31, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 17.80, 64.68, 5.00, 12.50, 5091.00, 16.07, 0.60, 60.50, 0.00, 0.00, 4.00, 10.00
94602, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 9.00, 82.14, 15.00, 37.50, 5091.00, 16.07, 0.60, 60.50, 1.00, 2.50, 40.00, 100.00
94603, 23.75, 24.64, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, 57.49, 42.23, 25.00, 50.40, 2.00, 5.00, 5091.00, 16.07, 0.60, 60.50, 0.00, 0.00, 15.00, 37.50
94601, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 25.30, 49.80, 7.00, 17.50, 5091.00, 16.07, 0.60, 60.50, 0.00, 0.00, 40.00, 100.00
95236, NA, NA, 0.26, 74.30, 3.92, 98.61, 0.62, 91.63, NA, NA, 13.40, 73.41, 0.00, 0.00, 0.00, 100.00, 0.59, 58.90, 0.00, 0.00, 0.00, 0.00
94608, NA, NA, 0.56, 44.40, 66.76, 32.72, 0.46, 92.78, NA, NA, 13.80, 72.62, 39.00, 97.50, 6066.00, 0.00, 0.69, 68.70, 4.00, 10.00, 40.00, 100.00
94609, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, 15.90, 68.45, 22.00, 55.00, 5091.00, 16.07, 0.60, 60.50, 8.00, 20.00, 40.00, 100.00
95205, NA, NA, 0.43, 56.70, 4.57, 97.92, 0.20, 94.81, NA, NA, 29.90, 40.67, 8.00, 20.00, 4003.00, 34.01, 0.57, 56.90, 0.00, 0.00, 19.00, 47.50
95237, 19.45, 14.91, 0.34, 65.90, 3.10, 99.47, 0.02, 96.17, NA, NA, 14.10, 72.02, 23.00, 57.50, 0.00, 100.00, 0.45, 44.50, 0.00, 0.00, 9.00, 22.50
95139, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 5.50, 89.09, 1.00, 2.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 3.00, 7.50
95138, 26.13, 30.04, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, 54.52, 9.90, 3.40, 93.25, 1.00, 2.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 1.00, 2.50
95492, 41.50, 64.88, 0.23, 77.10, 14.95, 87.04, 0.18, 94.95, 59.13, 60.08, 5.30, 89.48, 4.00, 10.00, 806.00, 86.71, 0.66, 65.70, 1.00, 2.50, 25.00, 62.50
95201, NA, NA, 0.43, 56.70, 4.57, 97.92, 0.20, 94.81, NA, NA, NA, NA, 10.00, 25.00, 4003.00, 34.01, 0.57, 56.90, 1.00, 2.50, 40.00, 100.00
95203, NA, NA, 0.43, 56.70, 4.57, 97.92, 0.20, 94.81, NA, NA, 23.00, 54.37, 8.00, 20.00, 4003.00, 34.01, 0.57, 56.90, 0.00, 0.00, 13.00, 32.50
95202, NA, NA, 0.43, 56.70, 4.57, 97.92, 0.20, 94.81, NA, NA, 50.40, 0.00, 9.00, 22.50, 4003.00, 34.01, 0.57, 56.90, 0.00, 0.00, 40.00, 100.00
95128, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 11.90, 76.39, 8.00, 20.00, 1475.00, 75.68, 0.61, 61.20, 3.00, 7.50, 40.00, 100.00
95129, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 5.90, 88.29, 10.00, 25.00, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 40.00, 100.00
95124, 23.08, 23.12, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, 59.20, 60.85, 5.00, 90.08, 7.00, 17.50, 1475.00, 75.68, 0.61, 61.20, 1.00, 2.50, 17.00, 42.50
95125, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 7.10, 85.91, 5.00, 12.50, 1475.00, 75.68, 0.61, 61.20, 1.00, 2.50, 10.00, 25.00
95126, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 13.80, 72.62, 14.00, 35.00, 1475.00, 75.68, 0.61, 61.20, 1.00, 2.50, 40.00, 100.00
95127, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 10.10, 79.96, 1.00, 2.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 3.00, 7.50
95120, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 2.80, 94.44, 1.00, 2.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 2.00, 5.00
95121, 26.13, 30.04, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, 54.52, 9.90, 10.20, 79.76, 5.00, 12.50, 1475.00, 75.68, 0.61, 61.20, 1.00, 2.50, 39.00, 97.50
95122, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 18.80, 62.70, 2.00, 5.00, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 33.00, 82.50
95123, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, 7.50, 85.12, 4.00, 10.00, 1475.00, 75.68, 0.61, 61.20, 1.00, 2.50, 16.00, 40.00
94998, NA, NA, 0.31, 68.80, 11.76, 90.39, 0.09, 95.62, NA, NA, NA, NA, 12.00, 30.00, 1001.00, 83.50, 0.62, 62.50, 0.00, 0.00, 40.00, 100.00
94999, 26.65, 31.22, 0.32, 68.40, 16.12, 85.81, 0.06, 95.83, 58.15, 49.41, NA, NA, 3.00, 7.50, 1044.00, 82.79, 0.64, 63.70, 0.00, 0.00, 27.00, 67.50
95021, 20.54, 17.37, 0.37, 62.80, 50.64, 49.62, 0.18, 94.96, 60.67, 76.93, NA, NA, 3.00, 7.50, 1741.00, 71.30, 0.61, 61.20, 0.00, 0.00, 40.00, 100.00
95020, 20.54, 17.37, 0.37, 62.80, 50.64, 49.62, 0.18, 94.96, 60.67, 76.93, 11.60, 76.98, 2.00, 5.00, 1741.00, 71.30, 0.61, 61.20, 0.00, 0.00, 40.00, 100.00
94309, NA, NA, 0.40, 59.80, 22.45, 79.18, 0.10, 95.55, NA, NA, NA, NA, 31.00, 77.50, 1001.00, 83.50, 0.55, 55.40, 2.00, 5.00, 40.00, 100.00
95024, 15.12, 5.09, 0.38, 62.30, 75.22, 23.85, 0.01, 96.19, 57.48, 42.10, NA, NA, 1.00, 2.50, 1555.00, 74.37, 0.63, 62.80, 1.00, 2.50, 40.00, 100.00
95026, NA, NA, 0.00, 100.00, 25.17, 76.33, 0.00, 96.30, NA, NA, NA, NA, 14.00, 35.00, 0.00, 100.00, 0.00, 0.00, 2.00, 5.00, 40.00, 100.00
94303, 16.15, 7.41, NA, NA, NA, NA, NA, NA, 58.46, 52.77, 11.80, 76.59, 9.00, 22.50, NA, NA, NA, NA, 0.00, 0.00, 7.00, 17.50
94302, NA, NA, 0.40, 59.80, 22.45, 79.18, 0.10, 95.55, NA, NA, NA, NA, 30.00, 75.00, 1001.00, 83.50, 0.55, 55.40, 2.00, 5.00, 40.00, 100.00
94301, 16.15, 7.41, 0.40, 59.80, 22.45, 79.18, 0.10, 95.55, 58.46, 52.77, 8.00, 84.13, 25.00, 62.50, 1001.00, 83.50, 0.55, 55.40, 6.00, 15.00, 40.00, 100.00
94306, 16.15, 7.41, 0.40, 59.80, 22.45, 79.18, 0.10, 95.55, 58.46, 52.77, 7.40, 85.32, 12.00, 30.00, 1001.00, 83.50, 0.55, 55.40, 1.00, 2.50, 26.00, 65.00
94305, 16.15, 7.41, 0.70, 30.10, 23.13, 78.47, 0.04, 96.02, 58.46, 52.77, 17.50, 65.28, 13.00, 32.50, 0.00, 100.00, 0.47, 47.50, 2.00, 5.00, 40.00, 100.00
94304, 22.88, 22.67, 0.40, 59.80, 22.45, 79.18, 0.10, 95.55, 59.00, 58.67, 4.40, 91.27, 2.00, 5.00, 1001.00, 83.50, 0.55, 55.40, 0.00, 0.00, 2.00, 5.00
94901, 41.60, 65.12, 0.46, 54.30, 14.23, 87.80, 0.03, 96.08, 58.52, 53.45, 10.90, 78.37, 10.00, 25.00, 1674.00, 72.40, 0.63, 63.40, 0.00, 0.00, 37.00, 92.50
94903, 35.23, 50.67, NA, NA, NA, NA, NA, NA, 58.38, 51.86, 6.50, 87.10, 6.00, 15.00, NA, NA, NA, NA, 0.00, 0.00, 6.00, 15.00
94904, 43.12, 68.56, NA, NA, NA, NA, NA, NA, 58.67, 55.04, 4.70, 90.67, 2.00, 5.00, NA, NA, NA, NA, 0.00, 0.00, 28.00, 70.00
94518, 17.29, 10.00, 0.36, 63.70, 49.91, 50.39, 0.00, 96.28, 61.13, 81.88, 11.40, 77.38, 4.00, 10.00, 1832.00, 69.80, 0.63, 62.80, 0.00, 0.00, 14.00, 35.00
94519, 17.29, 10.00, 0.36, 63.70, 49.91, 50.39, 0.00, 96.28, 61.13, 81.88, 8.30, 83.53, 1.00, 2.50, 1832.00, 69.80, 0.63, 62.80, 0.00, 0.00, 7.00, 17.50
94516, NA, NA, 0.00, 100.00, 89.41, 8.97, 0.00, 96.30, NA, NA, 5.70, 88.69, 1.00, 2.50, 0.00, 100.00, 0.00, 0.00, 0.00, 0.00, 2.00, 5.00
94517, 25.04, 27.57, 0.11, 89.10, 31.92, 69.25, 0.01, 96.21, 58.70, 55.40, 3.60, 92.86, 1.00, 2.50, 572.00, 90.57, 0.61, 61.00, 0.00, 0.00, 0.00, 0.00
94514, 12.88, 0.00, 0.44, 55.60, 14.33, 87.69, 0.39, 93.32, 62.79, 100.00, 12.90, 74.40, 0.00, 0.00, 0.00, 100.00, 0.48, 47.70, 0.00, 0.00, 1.00, 2.50
94515, 42.03, 66.10, 0.36, 63.60, 11.88, 90.26, -0.01, 96.35, 59.70, 66.30, 11.40, 77.38, 1.00, 2.50, 959.00, 84.19, 0.48, 47.70, 0.00, 0.00, 4.00, 10.00
94512, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.00, 100.00, 0.00, 0.00, NA, NA, NA, NA, 0.00, 0.00, 0.00, 0.00
94513, 13.22, 0.77, 0.23, 77.20, 16.51, 85.41, 1.21, 87.14, 61.50, 85.92, 5.30, 89.48, 7.00, 17.50, 1071.00, 82.34, 0.60, 59.90, 0.00, 0.00, 40.00, 100.00
94510, 20.23, 16.66, NA, NA, NA, NA, NA, NA, 58.42, 52.41, 6.60, 86.90, 1.00, 2.50, NA, NA, NA, NA, 0.00, 0.00, 0.00, 0.00
94511, NA, NA, 0.14, 85.90, 8.96, 93.32, -0.08, 96.87, NA, NA, 11.60, 76.98, 6.00, 15.00, 0.00, 100.00, 0.37, 36.70, 0.00, 0.00, 12.00, 30.00
95462, 55.41, 96.42, NA, NA, NA, NA, NA, NA, NA, NA, 13.80, 72.62, 1.00, 2.50, NA, NA, NA, NA, 0.00, 0.00, 1.00, 2.50
95465, 56.99, 100.00, 0.18, 82.20, 7.17, 95.20, -0.12, 97.24, 55.54, 20.94, 11.60, 76.98, 0.00, 0.00, 0.00, 100.00, 0.50, 49.80, 0.00, 0.00, 1.00, 2.50
94017, NA, NA, 0.41, 59.10, 97.97, 0.00, -0.02, 96.48, NA, NA, NA, NA, 25.00, 62.50, 1028.00, 83.05, 0.64, 64.00, 1.00, 2.50, 40.00, 100.00
94016, NA, NA, 0.41, 59.10, 97.97, 0.00, -0.02, 96.48, NA, NA, NA, NA, 11.00, 27.50, 1028.00, 83.05, 0.64, 64.00, 0.00, 0.00, 40.00, 100.00
94015, NA, NA, 0.41, 59.10, 97.97, 0.00, -0.02, 96.48, NA, NA, 7.60, 84.92, 5.00, 12.50, 1028.00, 83.05, 0.64, 64.00, 0.00, 0.00, 21.00, 52.50
94014, NA, NA, 0.41, 59.10, 97.97, 0.00, -0.02, 96.48, NA, NA, 9.10, 81.94, 14.00, 35.00, 1028.00, 83.05, 0.64, 64.00, 0.00, 0.00, 40.00, 100.00
94013, 20.68, 17.68, 0.41, 59.10, 97.97, 0.00, -0.02, 96.48, 55.29, 18.26, NA, NA, 0.00, 0.00, 1028.00, 83.05, 0.64, 64.00, 0.00, 0.00, 3.00, 7.50
95231, 14.06, 2.68, 0.45, 55.40, 4.75, 97.74, -0.18, 97.65, 61.32, 83.92, 21.20, 57.94, 2.00, 5.00, 0.00, 100.00, 0.45, 45.40, 0.00, 0.00, 4.00, 10.00
94011, NA, NA, 0.49, 50.60, 24.39, 77.14, 0.02, 96.13, NA, NA, NA, NA, 15.00, 37.50, 1203.00, 80.17, 0.61, 61.10, 1.00, 2.50, 40.00, 100.00
94010, 24.82, 27.08, 0.49, 50.60, 24.39, 77.14, 0.02, 96.13, 56.17, 27.84, 5.40, 89.29, 1.00, 2.50, 1203.00, 80.17, 0.61, 61.10, 0.00, 0.00, 4.00, 10.00
94019, 29.00, 36.55, 0.27, 72.80, 18.57, 83.25, -0.04, 96.63, 54.18, 6.18, 4.90, 90.28, 1.00, 2.50, 869.00, 85.67, 0.63, 63.00, 0.00, 0.00, 0.00, 0.00
94018, 29.00, 36.55, 0.25, 74.80, 22.69, 78.93, -0.04, 96.64, 54.18, 6.18, NA, NA, 6.00, 15.00, 0.00, 100.00, 0.68, 68.40, 0.00, 0.00, 29.00, 72.50
95337, NA, NA, 0.36, 64.00, 4.80, 97.68, 0.36, 93.56, NA, NA, 8.70, 82.74, 0.00, 0.00, 1780.00, 70.66, 0.65, 64.80, 0.00, 0.00, 0.00, 0.00
95336, 14.06, 2.68, 0.36, 64.00, 4.80, 97.68, 0.36, 93.56, 61.32, 83.92, 10.20, 79.76, 1.00, 2.50, 1780.00, 70.66, 0.65, 64.80, 0.00, 0.00, 1.00, 2.50
95330, NA, NA, 0.22, 78.20, 5.29, 97.17, 0.73, 90.81, NA, NA, 9.90, 80.36, 4.00, 10.00, 0.00, 100.00, 0.57, 57.50, 0.00, 0.00, 30.00, 75.00
94163, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 34.00, 85.00, 40.00, 100.00
94162, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 34.00, 85.00, 40.00, 100.00
94161, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 34.00, 85.00, 40.00, 100.00
94649, NA, NA, 0.53, 47.10, 66.09, 33.42, -0.02, 96.47, NA, NA, NA, NA, 35.00, 87.50, 5091.00, 16.07, 0.60, 60.50, 2.00, 5.00, 40.00, 100.00
94164, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 29.00, 72.50, 40.00, 100.00
95160, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, NA, NA, 5.00, 12.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 7.00, 17.50
95161, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, NA, NA, 9.00, 22.50, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 40.00, 100.00
95164, NA, NA, 0.40, 60.40, 46.30, 54.17, 0.06, 95.87, NA, NA, NA, NA, 4.00, 10.00, 1475.00, 75.68, 0.61, 61.20, 0.00, 0.00, 33.00, 82.50
94709, 26.74, 31.42, 0.53, 47.10, 74.09, 25.04, 0.10, 95.58, 58.05, 48.32, 13.60, 73.02, 40.00, 100.00, 2878.00, 52.56, 0.57, 56.60, 18.00, 45.00, 40.00, 100.00
94708, 26.74, 31.42, 0.53, 47.10, 74.09, 25.04, 0.10, 95.58, 58.05, 48.32, 3.60, 92.86, 7.00, 17.50, 2878.00, 52.56, 0.57, 56.60, 0.00, 0.00, 1.00, 2.50
94707, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 3.30, 93.45, 24.00, 60.00, NA, NA, NA, NA, 2.00, 5.00, 40.00, 100.00
94706, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 10.60, 78.97, 40.00, 100.00, NA, NA, NA, NA, 4.00, 10.00, 40.00, 100.00
94705, NA, NA, 0.53, 47.10, 74.09, 25.04, 0.10, 95.58, NA, NA, 10.00, 80.16, 6.00, 15.00, 2878.00, 52.56, 0.57, 56.60, 1.00, 2.50, 7.00, 17.50
94704, 26.74, 31.42, 0.53, 47.10, 74.09, 25.04, 0.10, 95.58, 58.05, 48.32, 39.90, 20.83, 40.00, 100.00, 2878.00, 52.56, 0.57, 56.60, 22.00, 55.00, 40.00, 100.00
94703, 26.74, 31.42, 0.53, 47.10, 74.09, 25.04, 0.10, 95.58, 58.05, 48.32, 18.90, 62.50, 10.00, 25.00, 2878.00, 52.56, 0.57, 56.60, 5.00, 12.50, 40.00, 100.00
94702, NA, NA, 0.53, 47.10, 74.09, 25.04, 0.10, 95.58, NA, NA, 18.00, 64.29, 32.00, 80.00, 2878.00, 52.56, 0.57, 56.60, 5.00, 12.50, 40.00, 100.00
94701, NA, NA, 0.53, 47.10, 74.09, 25.04, 0.10, 95.58, NA, NA, NA, NA, 40.00, 100.00, 2878.00, 52.56, 0.57, 56.60, 18.00, 45.00, 40.00, 100.00
94497, NA, NA, 0.44, 56.10, 20.17, 81.57, 0.05, 95.91, NA, NA, NA, NA, 6.00, 15.00, 1188.00, 80.42, 0.65, 64.60, 0.00, 0.00, 21.00, 52.50
94160, NA, NA, 0.57, 42.80, 5.93, 96.50, 0.04, 96.02, NA, NA, NA, NA, 40.00, 100.00, 2718.00, 55.19, 0.64, 64.20, 34.00, 85.00, 40.00, 100.00
94552, NA, NA, 0.30, 69.70, 46.06, 54.42, 0.07, 95.76, NA, NA, 2.20, 95.63, 1.00, 2.50, 0.00, 100.00, 0.62, 61.70, 0.00, 0.00, 1.00, 2.50
94553, 18.27, 12.22, NA, NA, NA, NA, NA, NA, 60.23, 72.06, 8.00, 84.13, 3.00, 7.50, NA, NA, NA, NA, 0.00, 0.00, 2.00, 5.00
94550, 15.47, 5.87, 0.28, 72.50, 26.42, 75.02, 0.10, 95.51, 60.00, 69.62, 4.80, 90.48, 2.00, 5.00, 1133.00, 81.32, 0.64, 64.10, 0.00, 0.00, 2.00, 5.00
94551, 15.47, 5.87, 0.28, 72.50, 26.42, 75.02, 0.10, 95.51, 60.00, 69.62, 5.80, 88.49, 1.00, 2.50, 1133.00, 81.32, 0.64, 64.10, 0.00, 0.00, 1.00, 2.50
94556, NA, NA, 0.15, 85.10, 51.95, 48.25, -0.05, 96.67, NA, NA, 4.70, 90.67, 17.00, 42.50, 498.00, 91.79, 0.49, 49.20, 3.00, 7.50, 40.00, 100.00
94557, NA, NA, 0.43, 56.50, 24.94, 76.57, 0.03, 96.08, NA, NA, NA, NA, 5.00, 12.50, 2086.00, 65.61, 0.62, 62.30, 0.00, 0.00, 17.00, 42.50
94555, 15.88, 6.81, 0.34, 66.00, 27.24, 74.16, 0.05, 95.90, 59.65, 65.76, 4.60, 90.87, 8.00, 20.00, 1132.00, 81.34, 0.59, 59.10, 0.00, 0.00, 11.00, 27.50
94970, 38.26, 57.54, 0.09, 91.40, 13.14, 88.94, -0.16, 97.50, NA, NA, 0.00, 100.00, 10.00, 25.00, 0.00, 100.00, 0.66, 66.00, 0.00, 0.00, 6.00, 15.00
94558, 27.68, 33.56, 0.40, 60.10, 7.62, 94.73, 0.06, 95.85, 58.78, 56.27, 7.90, 84.33, 7.00, 17.50, 1312.00, 78.37, 0.61, 61.30, 1.00, 2.50, 40.00, 100.00
94559, 24.05, 25.32, 0.40, 60.10, 7.62, 94.73, 0.06, 95.85, 58.01, 47.91, 10.00, 80.16, 3.00, 7.50, 1312.00, 78.37, 0.61, 61.30, 0.00, 0.00, 6.00, 15.00
