"","zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes","STATEFIPS","STATE","AGI_STUB","N1","MARS1","MARS2","MARS4","PREP","N2","NUMDEP","A00100","N00200","A00200","N00300","A00300","N00600","A00600","N00650","A00650","N00900","A00900","SCHF","N01000","A01000","N01400","A01400","N01700","A01700","N02300","A02300","N02500","A02500","N03300","A03300","N00101","A00101","N04470","A04470","N18425","A18425","N18450","A18450","N18500","A18500","N18300","A18300","N19300","A19300","N19700","A19700","N04800","A04800","N07100","A07100","N07220","A07220","N07180","A07180","N07260","A07260","N59660","A59660","N59720","A59720","N11070","A11070","N09600","A09600","N06500","A06500","N10300","A10300","N11901","A11901","N11902","A11902"
"11",94005,"STANDARD","Brisbane","","","CA","San Mateo County","America/Los_Angeles","415,650",37.68,-122.41,NA,"US",0,4345,"",6,"CA",1,570,460,60,40,280,650,110,6772,370,4300,130,83,80,179,70,87,140,1186,0,70,-41,30,182,80,822,50,440,30,57,0,0,70,960,70,1103,20,45,40,24,60,221,70,315,40,408,40,46,290,1726,60,24,0,0,0,0,0,0,150,204,100,156,60,53,0,0,240,156,330,325,120,87,390,499
"12",94005,"STANDARD","Brisbane","","","CA","San Mateo County","America/Los_Angeles","415,650",37.68,-122.41,NA,"US",0,4345,"",6,"CA",5,570,180,360,40,370,1290,360,81429,530,67773,410,384,240,882,230,668,120,3052,0,200,1319,40,1017,100,3985,70,527,80,1401,50,811,480,68544,480,13827,450,4249,30,73,340,1835,480,6281,310,5172,340,979,570,61652,240,266,70,84,40,20,0,0,0,0,0,0,0,0,40,96,570,11568,570,12038,170,852,380,1712
"13",94010,"STANDARD","Burlingame","Hillsborough","","CA","San Mateo County","America/Los_Angeles","415,650",37.56,-122.37,NA,"US",0,35172,"",6,"CA",2,2930,2000,560,300,1640,4480,1040,108662,2210,75906,1150,2036,780,3799,700,2537,500,9867,0,650,1536,300,3237,440,6944,210,1656,520,3881,30,318,620,23431,620,14441,300,768,300,295,400,2650,620,4546,280,4195,440,997,2750,63361,870,702,330,315,60,32,0,0,210,376,140,252,220,298,0,0,2480,7272,2630,8811,720,1525,1980,3944
"14",94010,"STANDARD","Burlingame","Hillsborough","","CA","San Mateo County","America/Los_Angeles","415,650",37.56,-122.37,NA,"US",0,35172,"",6,"CA",4,1690,870,650,130,1010,3080,750,146773,1320,101750,1000,2894,720,5042,670,3322,310,7964,0,660,2395,260,4903,350,11192,130,894,380,7082,40,504,1060,93551,1060,24518,910,5145,140,227,620,4460,1060,10114,480,6977,800,2164,1660,105078,610,662,280,384,60,37,0,0,0,0,0,0,40,44,40,50,1620,16849,1650,18078,530,1680,1000,3257
"15",94010,"STANDARD","Burlingame","Hillsborough","","CA","San Mateo County","America/Los_Angeles","415,650",37.56,-122.37,NA,"US",0,35172,"",6,"CA",6,5210,510,4470,150,4090,16080,6420,5344746,4290,2573638,4810,95806,4210,270455,4070,206895,1370,160401,40,4250,1147046,900,91857,760,39566,250,1645,850,21282,680,28043,5170,5319718,5170,956672,5070,483755,90,332,4590,90425,5160,580699,3840,111860,4810,176708,5190,4335309,3020,34521,0,0,670,355,150,315,0,0,0,0,0,0,4280,81497,5180,1170350,5190,1195578,2440,81444,1470,44508
"16",94010,"STANDARD","Burlingame","Hillsborough","","CA","San Mateo County","America/Los_Angeles","415,650",37.56,-122.37,NA,"US",0,35172,"",6,"CA",3,2230,1360,640,170,1250,3690,840,138118,1740,98051,1140,2682,760,5271,720,3656,360,8198,0,680,1789,260,3597,410,9729,150,1103,460,6784,40,420,780,49264,780,21572,540,2117,230,305,550,4163,780,6759,400,6405,610,1828,2140,93693,630,640,280,381,50,26,40,15,0,0,0,0,60,95,0,0,2070,13672,2130,15044,680,1793,1410,3642
"17",94010,"STANDARD","Burlingame","Hillsborough","","CA","San Mateo County","America/Los_Angeles","415,650",37.56,-122.37,NA,"US",0,35172,"",6,"CA",1,4700,3860,470,270,2700,4610,880,50979,2920,33827,1550,1595,1420,3662,1320,2293,800,6859,0,1240,582,270,1881,460,4130,220,1848,190,439,0,0,560,7120,560,11790,190,877,310,180,330,2342,540,3709,200,3151,300,523,2350,14208,620,187,60,25,0,0,0,0,770,1149,560,864,320,392,0,0,1900,1342,2490,2484,940,822,2850,3918
"18",94010,"STANDARD","Burlingame","Hillsborough","","CA","San Mateo County","America/Los_Angeles","415,650",37.56,-122.37,NA,"US",0,35172,"",6,"CA",5,3550,1080,2240,170,2350,8200,2410,504270,2780,324299,2640,8919,2000,20513,1890,14950,840,34901,0,1910,13806,640,19509,810,34281,240,1876,870,18965,160,3400,2960,428457,2960,108359,2710,26456,220,510,2150,20533,2960,49567,1750,35291,2490,8905,3520,359153,1510,1642,400,463,220,113,60,46,0,0,0,0,0,0,420,1374,3480,65600,3500,70340,1260,7468,1870,11159
"19",94014,"STANDARD","Daly City","Colma","","CA","San Mateo County","America/Los_Angeles","415,650,510",37.68,-122.43,NA,"US",0,36989,"",6,"CA",5,2340,460,1720,150,1510,6350,2290,308045,2220,261026,1420,1153,680,1665,620,1245,310,7534,0,580,1361,170,3386,490,17478,240,1455,300,6247,30,662,1900,255065,1900,56408,1850,14034,50,104,1610,7849,1900,22867,1530,24954,1600,3527,2340,222488,940,1237,500,638,220,114,40,19,0,0,0,0,0,0,100,209,2330,38613,2330,39787,750,3450,1540,6629
"20",94014,"STANDARD","Daly City","Colma","","CA","San Mateo County","America/Los_Angeles","415,650,510",37.68,-122.43,NA,"US",0,36989,"",6,"CA",6,320,40,260,0,230,950,360,100641,290,67372,260,580,150,1143,140,756,60,4707,0,150,5907,40,2167,80,5518,30,201,40,901,0,0,310,98551,310,17683,300,7418,0,0,270,1782,310,9397,240,4793,270,1206,320,79312,90,122,0,0,50,23,0,0,0,0,0,0,0,0,220,1419,320,19500,320,20026,150,2523,130,833
"21",94014,"STANDARD","Daly City","Colma","","CA","San Mateo County","America/Los_Angeles","415,650,510",37.68,-122.43,NA,"US",0,36989,"",6,"CA",4,1930,520,1200,180,1210,4940,1810,166988,1790,139074,990,606,430,807,380,575,240,3288,0,330,563,150,2481,420,11344,220,1615,340,5924,0,0,1180,103168,1180,26864,1080,4684,80,154,930,4112,1180,9508,890,12553,940,1984,1930,113334,850,1292,600,929,120,68,0,0,0,0,0,0,0,0,0,0,1910,16155,1920,16771,460,1239,1440,4852
"22",94014,"STANDARD","Daly City","Colma","","CA","San Mateo County","America/Los_Angeles","415,650,510",37.68,-122.43,NA,"US",0,36989,"",6,"CA",3,3590,1450,1510,560,2270,7840,2740,219935,3280,186166,1370,652,510,819,450,528,390,5452,0,400,299,220,2477,610,13448,360,2479,510,7179,0,0,1390,87048,1390,28791,1180,3209,190,268,1120,4758,1390,8693,1050,13835,1090,1873,3580,141316,1370,1897,970,1407,150,78,60,38,0,0,0,0,140,173,0,0,3450,18649,3490,19532,820,1617,2740,7526
"23",94014,"STANDARD","Daly City","Colma","","CA","San Mateo County","America/Los_Angeles","415,650,510",37.68,-122.43,NA,"US",0,36989,"",6,"CA",1,8310,6000,1150,990,4850,11350,2980,107339,6340,81598,1180,681,440,584,370,342,1420,11094,0,340,-178,290,1636,880,8265,720,4792,220,400,0,0,490,7441,490,8117,130,135,290,166,350,1153,480,1518,310,3670,250,345,4140,26219,1010,374,310,109,30,9,0,0,2260,4299,1840,3635,1200,1398,0,0,3490,2428,4590,4003,1290,981,6520,10100
"24",94014,"STANDARD","Daly City","Colma","","CA","San Mateo County","America/Los_Angeles","415,650,510",37.68,-122.43,NA,"US",0,36989,"",6,"CA",2,6610,3410,1710,1300,4080,12750,4450,240252,6020,208345,1490,699,510,903,450,577,680,8748,0,450,-100,260,2380,760,12169,610,3957,680,4181,30,197,1190,45819,1190,21781,740,1183,400,386,890,3532,1180,5416,830,10507,840,1458,6340,127894,2280,2040,1410,1394,160,78,0,0,1100,1820,870,1451,900,1155,0,0,5490,13986,5730,15302,970,1407,5570,12596
"25",94015,"STANDARD","Daly City","Broadmoor Vlg","","CA","San Mateo County","America/Los_Angeles","650,415",37.67,-122.47,NA,"US",0,49650,"",6,"CA",6,700,90,580,20,470,2010,730,206974,640,143208,570,2032,370,3143,350,2594,130,6697,0,360,17749,80,3202,170,9792,50,390,90,1964,30,528,670,201268,670,35452,660,13980,0,0,590,3509,670,17895,540,10465,590,2248,690,163721,220,314,0,0,90,46,0,0,0,0,0,0,0,0,480,2484,690,39035,690,39885,340,5025,290,1917
"26",94015,"STANDARD","Daly City","Broadmoor Vlg","","CA","San Mateo County","America/Los_Angeles","650,415",37.67,-122.47,NA,"US",0,49650,"",6,"CA",2,7760,4390,1890,1280,4270,13760,4150,285206,6790,238186,2060,1341,870,1822,790,1068,840,10358,0,310,34,450,4351,1140,19267,670,4999,1010,6482,0,0,1420,54545,1420,26179,890,1638,480,488,1040,3993,1420,6481,930,11039,1050,1976,7480,158684,2640,2315,1380,1399,170,99,0,0,1050,1782,800,1387,830,1072,0,0,6650,17761,6890,19444,1180,1680,6440,13876
"27",94015,"STANDARD","Daly City","Broadmoor Vlg","","CA","San Mateo County","America/Los_Angeles","650,415",37.67,-122.47,NA,"US",0,49650,"",6,"CA",3,5000,2210,2040,620,2850,10150,3100,307552,4420,248522,2100,1605,960,2703,870,1766,580,9186,0,780,125,430,5396,1000,23635,440,2971,870,12415,30,398,1850,116356,1850,38978,1540,4481,270,339,1460,5645,1850,10953,1340,17382,1480,2968,4970,202388,1740,2283,1120,1648,180,90,50,16,0,0,0,0,150,152,20,33,4840,27407,4870,28940,1200,2658,3700,9786
"28",94015,"STANDARD","Daly City","Broadmoor Vlg","","CA","San Mateo County","America/Los_Angeles","650,415",37.67,-122.47,NA,"US",0,49650,"",6,"CA",4,3170,970,1850,300,1810,7480,2470,274426,2850,221405,1670,1302,840,2300,770,1670,380,5649,0,680,557,330,4932,760,22461,290,2063,580,10707,0,0,1800,157017,1800,40246,1650,7482,120,214,1370,5887,1800,14163,1260,17733,1420,2914,3160,191092,1260,1899,860,1332,170,94,30,8,0,0,0,0,0,0,0,0,3150,27950,3150,28946,820,2157,2290,7663
