Zip Code,Median List Price,Median Sale Price,Median Single Family Home Value,Median 2-Bedroom Home Value,Median 3-Bedroom Home Value,Median 4-Bedroom Home Value,Median Condo Value,Median List Price Per Sq Ft,forsale
94505,0,445700,546800,0,560300,539700,0,233,http://www.zillow.com/discovery-bay-ca-94505/
94030,0,1244400,1403200,958400,1346700,1673700,772900,802,http://www.zillow.com/millbrae-ca-94030/
94506,0,1197000,1270300,804500,916700,1244200,705800,428,http://www.zillow.com/danville-ca-94506/
94501,0,802800,845200,675200,860400,987900,503400,523,http://www.zillow.com/alameda-ca-94501/
95121,0,603800,679300,415100,621200,696100,427900,428,http://www.zillow.com/san-jose-ca-95121/
94037,0,0,1012300,854100,988900,1187700,0,588,http://www.zillow.com/montara-ca-94037/
94502,0,760600,911300,636500,806600,1033500,628400,469,http://www.zillow.com/alameda-ca-94502/
95297,0,0,0,0,0,0,0,0,http://www.zillow.com/stockton-ca-95297/
94587,0,581500,685200,355100,619800,713200,406900,398,http://www.zillow.com/union-city-ca-94587/
94581,0,0,0,0,0,0,0,0,http://www.zillow.com/napa-ca-94581/
94580,0,465100,478200,395500,472800,532400,353800,372,http://www.zillow.com/san-lorenzo-ca-94580/
94588,0,819600,883300,537000,801200,894900,534300,461,http://www.zillow.com/hayward-ca-94588/
95419,0,0,0,0,0,0,0,0,http://www.zillow.com/camp-meeker-ca-95419/
95021,0,0,0,0,0,0,0,0,http://www.zillow.com/gilroy-ca-95021/
95020,0,620600,631600,443000,563000,655300,388900,339,http://www.zillow.com/gilroy-ca-95020/
95023,0,439000,426500,349300,399400,471400,302100,242,http://www.zillow.com/hollister-ca-95023/
95231,142000,0,0,0,0,0,0,0,http://www.zillow.com/french-camp-ca-95231/
95024,0,0,0,0,0,0,0,0,http://www.zillow.com/hollister-ca-95024/
94301,0,2505000,3406700,1816300,2757600,3814400,1561100,1504,http://www.zillow.com/palo-alto-ca-94301/
94306,0,2352900,2380000,1469500,2083100,2697900,1245200,1323,http://www.zillow.com/palo-alto-ca-94306/
94305,1588000,0,2762200,0,2373400,2740700,1196600,1049,http://www.zillow.com/stanford-ca-94305/
94304,2499000,0,0,0,0,0,0,0,http://www.zillow.com/palo-alto-ca-94304/
94901,0,777400,1031600,653900,899300,1219200,0,512,http://www.zillow.com/san-rafael-ca-94901/
94518,0,567100,594300,226700,523200,631600,0,337,http://www.zillow.com/concord-ca-94518/
94519,0,438900,440000,321700,432000,474000,244300,319,http://www.zillow.com/concord-ca-94519/
94022,0,3230000,3340100,1864900,2907700,3462000,1312100,1237,http://www.zillow.com/los-altos-ca-94022/
94517,0,670900,717900,467200,612300,732300,474600,335,http://www.zillow.com/danville-ca-94517/
94514,475000,0,0,0,0,0,0,0,http://www.zillow.com/discovery-bay-ca-94514/
94021,0,0,0,0,0,0,0,0,http://www.zillow.com/loma-mar-ca-94021/
94513,0,458300,480500,434600,407700,506300,0,220,http://www.zillow.com/brentwood-ca-94513/
95492,0,514200,509700,406700,469300,546900,379500,297,http://www.zillow.com/healdsburg-ca-95492/
94599,0,0,806200,682600,772900,0,649200,545,http://www.zillow.com/napa-ca-94599/
95336,0,269800,270800,302900,255700,317600,0,173,http://www.zillow.com/manteca-ca-95336/
95465,0,0,872600,712100,996600,0,0,0,http://www.zillow.com/camp-meeker-ca-95465/
95073,0,763000,742100,620500,728700,848300,436400,445,http://www.zillow.com/aptos-ca-95073/
95032,0,1435000,1667800,919700,1337400,1734600,914400,761,http://www.zillow.com/los-gatos-ca-95032/
94720,0,0,0,0,0,0,0,0,http://www.zillow.com/berkeley-ca-94720/
95030,0,2181300,2301100,1538800,2007400,2532500,1114100,939,http://www.zillow.com/los-gatos-ca-95030/
95037,0,719000,844800,529500,694500,895400,496700,393,http://www.zillow.com/santa-clara-county-ca-95037/
94010,0,1707100,2370600,1259900,1889200,3034000,880200,1017,http://www.zillow.com/burlingame-ca-94010/
95038,0,0,0,0,0,0,0,0,http://www.zillow.com/morgan-hill-ca-95038/
94019,0,949100,981400,728400,926100,1133100,574400,548,http://www.zillow.com/half-moon-bay-ca-94019/
94018,0,0,0,0,0,0,0,0,http://www.zillow.com/half-moon-bay-ca-94018/
95148,0,700700,784600,546800,699600,819700,505800,451,http://www.zillow.com/san-jose-ca-95148/
94528,1749000,0,0,0,0,0,0,0,http://www.zillow.com/diablo-ca-94528/
94523,0,588100,676900,428800,593400,781700,431400,398,http://www.zillow.com/pleasant-hill-ca-94523/
94520,0,368800,394500,0,380600,432100,191200,295,http://www.zillow.com/concord-ca-94520/
94527,0,0,0,0,0,0,0,0,http://www.zillow.com/concord-ca-94527/
94526,0,950500,1119000,646300,888100,1141000,651000,493,http://www.zillow.com/danville-ca-94526/
94158,0,1300000,0,1294000,0,0,1149900,1121,http://www.zillow.com/san-francisco-ca-94158/
95472,0,607900,696300,574100,713700,864800,0,431,http://www.zillow.com/camp-meeker-ca-95472/
95473,0,0,0,0,0,0,0,0,http://www.zillow.com/sebastopol-ca-95473/
94621,0,255000,260500,241800,278300,315200,0,243,http://www.zillow.com/oakland-ca-94621/
94085,0,826500,873100,685100,865000,966000,676600,659,http://www.zillow.com/sunnyvale-ca-94085/
94086,0,1132000,1267400,752400,1162900,1321300,751600,733,http://www.zillow.com/sunnyvale-ca-94086/
95241,0,0,0,0,0,0,0,0,http://www.zillow.com/lodi-ca-95241/
95240,0,205500,231100,167200,239400,289000,0,166,http://www.zillow.com/lockeford-ca-95240/
94536,0,749500,814000,471300,748500,874600,462000,485,http://www.zillow.com/fremont-ca-94536/
95242,0,285200,318900,212100,290900,398500,143100,183,http://www.zillow.com/lodi-ca-95242/
94531,0,366800,378100,0,333100,388700,0,178,http://www.zillow.com/antioch-ca-94531/
95008,0,935300,1043600,665600,982700,1124200,651700,621,http://www.zillow.com/campbell-ca-95008/
95007,399000,0,0,0,0,0,0,0,http://www.zillow.com/boulder-creek-ca-95007/
95005,0,605000,526500,450100,590700,658800,0,373,http://www.zillow.com/ben-lomond-ca-95005/
94538,0,679400,726800,461000,689300,781300,486800,508,http://www.zillow.com/fremont-ca-94538/
95001,0,0,0,0,0,0,0,0,http://www.zillow.com/aptos-ca-95001/
95110,0,532500,586400,532900,632900,667100,497100,488,http://www.zillow.com/san-jose-ca-95110/
95018,0,600000,489100,458500,574100,643200,0,400,http://www.zillow.com/felton-ca-95018/
94929,718000,0,0,0,0,0,0,0,http://www.zillow.com/dillon-beach-ca-94929/
95253,0,0,0,0,0,0,0,0,http://www.zillow.com/lodi-ca-95253/
95112,0,593300,629700,574100,643400,783000,555700,468,http://www.zillow.com/san-jose-ca-95112/
94923,0,0,732000,657100,827800,0,0,430,http://www.zillow.com/bodega-bay-ca-94923/
94922,0,0,0,0,0,0,0,0,http://www.zillow.com/bodega-ca-94922/
95063,0,0,0,0,0,0,0,0,http://www.zillow.com/santa-cruz-ca-95063/
94020,0,0,882200,0,0,0,0,708,http://www.zillow.com/loma-mar-ca-94020/
