zip,Median House Price (May 2015),Ozone,PM2.5,Parks,Coffeeshops,Restaurants,AVERAGE of Temperature (1981-2010 Annual Average) in F,AVERAGE of Precipitation (1981-2010 Annual Total) in Inches
94086,1131950,32,23,15,1,40,60.28333333,14.68
94960,1135300,22,22,10,1,40,58.52083334,41.605
94506,1197000,25,16,4,0,2,58.7,25.04
94105,1197250,22,9,40,30,40,,
94539,1200500,23,5,1,0,5,,
94110,1206750,22,9,40,29,40,,
94115,1247250,22,9,40,18,40,,
94563,1324250,,,18,1,40,,
94549,1341750,25,16,16,2,40,,
95120,1346000,32,23,1,0,2,,
94507,1351750,25,16,2,0,4,,
94117,1386250,22,9,40,23,40,57.33333333,23.65
94131,1386500,22,9,40,5,40,,
94127,1411470.588,22,9,21,5,40,55.29166667,20.68
95032,1435000,32,23,2,0,1,59.2,23.08
95129,1435250,32,23,10,0,40,,
94114,1463650,22,9,40,20,40,57.33333333,23.65
94121,1568750,22,9,32,2,40,,
94087,1588050,32,23,11,1,39,,
94941,1607500,22,22,4,0,2,,38.26
95014,1638750,32,23,4,0,2,,
94118,1955882.353,22,9,40,5,40,,
95030,2181250,32,23,26,2,40,59.2,23.08
95070,2244750,32,23,23,3,40,,
94024,2650800,32,23,2,0,1,,39.28
94022,3230000,32,23,5,1,30,55.34166667,40.525
94514,,,,0,0,1,62.79166667,12.88
95378,,,,0,0,2,60.98333333,13.05
94548,,,,5,0,13,61.5,13.22
95043,,,,0,0,0,56.11666667,14.005
95213,,,,1,0,8,61.31666667,14.06
95231,,,,2,0,4,61.31666667,14.06
95052,,,,31,3,40,61.49166667,14.9
95053,,,,9,1,40,61.49166667,14.9
95024,,,,1,1,40,57.47916667,15.125
95075,,,,0,0,0,57.47916667,15.125
94662,,,,40,4,40,60.00416667,15.47
94305,,,,13,2,40,58.45833333,16.15
95211,,,,4,0,40,62.21666667,17.77
95267,,,,2,0,40,62.21666667,17.77
95269,,,,1,0,40,62.21666667,17.77
95297,,,,2,0,40,62.21666667,17.77
95241,,,,6,0,40,61.23333333,19.02
95253,,,,2,0,10,61.23333333,19.31
95220,,,,1,0,0,,19.455
95237,,,,23,0,9,,19.455
94569,,,,11,1,40,58.425,20.23
95001,,,,13,1,40,57.23333333,20.27
95021,,,,3,0,40,60.675,20.54
94128,,,,1,1,40,58.15833333,20.65
94013,,,,0,0,3,55.29166667,20.68
94614,,,,15,0,18,57.49166667,20.81
95077,,,,3,0,40,57.2625,21.885
94304,,,,2,0,2,59,22.88
95154,,,,9,1,23,59.2,23.08
94199,,,,0,0,3,57.33333333,23.65
94617,,,,40,11,40,59.175,23.96
94527,,,,6,0,40,58.7,25.04
94528,,,,13,0,40,58.7,25.04
94535,,,,6,0,10,61.72777778,25.05
95625,,,,6,0,20,62.06833333,25.874
95696,,,,0,0,0,62.06833333,25.874
95140,,,,0,0,0,54.525,26.13
94999,,,,3,0,27,58.15,26.65
94613,,,,6,0,25,,26.69
94704,,,,40,22,40,58.05,26.74
94720,,,,31,25,40,58.05,26.74
94018,,,,6,0,29,54.18333333,29
94038,,,,0,0,0,56.27083333,30.465
94074,,,,0,0,0,54.30833333,30.78
95063,,,,12,1,40,58.81666667,31.35
95416,,,,6,0,40,58.80833333,31.43
95431,,,,6,0,40,58.80833333,31.43
95433,,,,6,0,40,58.80833333,31.43
95487,,,,3,0,40,58.80833333,31.43
95402,,,,15,2,40,59.19166667,32.2
95406,,,,15,2,40,59.19166667,32.2
94599,,,,5,0,20,59.175,33.79
94562,,,,3,0,31,59.7375,35.215
94573,,,,3,0,27,59.7375,35.215
94957,,,,15,1,40,58.375,35.23
94581,,,,9,2,40,58.45833334,37.545
94970,,,,10,0,6,,38.26
95015,,,,11,3,40,,39.28
94508,,,,0,0,1,59.24722222,39.60333333
94576,,,,2,0,2,59.24722222,39.60333333
95421,,,,0,0,0,54.16666667,39.87
95450,,,,3,0,8,54.16666667,39.87
94020,,,,1,0,0,55.34166667,40.525
95439,,,,5,0,26,59.12916667,41.49666667
94021,,,,1,0,0,55.34166667,41.77
94567,,,,0,0,0,58.72083334,41.79
95444,,,,3,0,20,57.25833333,42.28
95473,,,,4,1,40,57.25833333,42.28
95441,,,,0,0,0,60.35833334,44.3625
95471,,,,1,0,9,54.16666667,47.64
95486,,,,0,0,0,54.16666667,47.64
95419,,,,1,0,13,57.35833333,49.635
95007,,,,1,1,12,58.53333333,50.48
95041,,,,2,1,10,58.53333333,50.48
95462,,,,1,0,1,,55.41
94922,,,,2,0,5,55.5375,56.99
95430,,,,0,0,0,55.5375,56.99
95465,,,,0,0,1,55.5375,56.99
94011,,,,15,1,40,,
94016,,,,11,0,40,,
94017,,,,25,1,40,,
94023,,,,37,1,40,,
94026,,,,40,2,40,,
94035,,,,4,0,3,,
94039,,,,40,5,40,,
94042,,,,40,5,40,,
94060,,,,0,0,0,,
94064,,,,40,4,40,,
94083,,,,29,1,40,,
94088,,,,2,0,7,,
94101,,,,0,0,3,,
94106,,,,0,0,3,,
94119,,,,40,18,40,,
94120,,,,40,37,40,,
94125,,,,40,34,40,,
94126,,,,40,24,40,,
94129,,,,40,4,40,,
94130,,,,2,0,11,,
94135,,,,11,1,40,,
94136,,,,12,1,40,,
94137,,,,40,37,40,,
94138,,,,40,35,40,,
94139,,,,40,34,40,,
94140,,,,40,37,40,,
94141,,,,40,17,40,,
94142,,,,40,35,40,,
94143,,,,40,14,40,,
94144,,,,40,34,40,,
94145,,,,40,37,40,,
94146,,,,40,34,40,,
94147,,,,40,34,40,,
94150,,,,40,24,40,,
94151,,,,40,34,40,,
94152,,,,0,0,3,,
94153,,,,40,34,40,,
94154,,,,40,34,40,,
94155,,,,0,0,3,,
94156,,,,40,34,40,,
94159,,,,40,11,40,,
94160,,,,40,34,40,,
94161,,,,40,34,40,,
94162,,,,40,34,40,,
94163,,,,40,34,40,,
94164,,,,40,29,40,,
94171,,,,40,34,40,,
94172,,,,40,34,40,,
94175,,,,40,40,40,,
94177,,,,40,34,40,,
94188,,,,9,1,25,,
94302,,,,30,2,40,,
94309,,,,31,2,40,,
94497,,,,6,0,21,,
94511,,,,6,0,12,,
94512,,,,0,0,0,,
94516,,,,1,0,2,,
94522,,,,5,1,40,,
94524,,,,6,0,40,,
94525,,,,15,0,40,,
94529,,,,26,1,40,,
94537,,,,19,0,21,,
94540,,,,11,0,40,,
94543,,,,14,3,40,,
94557,,,,5,0,17,,
94570,,,,16,1,40,,
94575,,,,17,3,40,,
94586,,,,0,0,0,,
94592,,,,5,0,4,,
94604,,,,40,11,40,,
94615,,,,4,0,18,,
94620,,,,21,8,40,,
94622,,,,3,0,36,,
94623,,,,4,0,20,,
94624,,,,1,0,30,,
94625,,,,0,0,3,,
94649,,,,35,2,40,,
94659,,,,40,12,40,,
94660,,,,40,8,40,,
94661,,,,11,1,27,,
94666,,,,40,13,40,,
94701,,,,40,18,40,,
94712,,,,40,18,40,,
94802,,,,2,0,20,,
94807,,,,13,1,40,,
94808,,,,16,1,40,,
94820,,,,3,0,1,,
94850,,,,5,0,22,,
94912,,,,11,0,40,,
94913,,,,8,1,22,,
94914,,,,7,0,40,,
94915,,,,8,1,22,,
94924,,,,0,0,0,,
94926,,,,13,0,40,,
94927,,,,19,0,40,,
94933,,,,0,0,0,,
94937,,,,1,0,0,,
94938,,,,1,0,2,,
94940,,,,1,0,0,,
94942,,,,19,1,40,,
94946,,,,35,0,9,,
94948,,,,12,0,40,,
94950,,,,5,0,10,,
94953,,,,4,0,2,,
94955,,,,10,1,40,,
94956,,,,0,0,0,,
94963,,,,1,0,37,,
94964,,,,10,0,40,,
94966,,,,19,2,40,,
94971,,,,40,0,21,,
94972,,,,0,0,0,,
94973,,,,2,0,40,,
94974,,,,2,0,7,,
94975,,,,4,0,2,,
94976,,,,19,1,40,,
94977,,,,19,0,40,,
94978,,,,10,2,40,,
94979,,,,18,1,40,,
94998,,,,12,0,40,,
95002,,,,20,3,40,,
95009,,,,34,2,40,,
95011,,,,10,1,40,,
95013,,,,2,1,9,,
95017,,,,0,0,0,,
95026,,,,14,2,40,,
95031,,,,13,2,40,,
95036,,,,27,1,40,,
95042,,,,14,2,40,,
95044,,,,14,2,40,,
95055,,,,8,1,40,,
95056,,,,7,1,25,,
95061,,,,3,0,8,,
95064,,,,5,0,13,,
95067,,,,3,1,26,,
95071,,,,20,3,40,,
95101,,,,6,0,36,,
95103,,,,40,5,40,,
95106,,,,40,5,40,,
95108,,,,40,5,40,,
95109,,,,40,5,40,,
95113,,,,40,4,40,,
95115,,,,40,5,40,,
95141,,,,1,0,0,,
95150,,,,7,0,31,,
95151,,,,5,5,40,,
95152,,,,5,0,10,,
95153,,,,6,0,29,,
